ID,Candidate,Constituency ∇,Party,Criminal Case,Total Assets,Liabilities,state,Education
0,Geeta Bharat Jain,MEERA BHAYANDAR,IND,2,70 Crore+,11 Crore+,MAHARASHTRA,12th Pass
1,Becharam Manna,SINGUR,AITC,1,2 Crore+,13 Lac+,WESTBENGAL,10th Pass
2,Sunil Vijay Tingre,VADGAON SHERI,NCP,3,49 Crore+,1 Crore+,MAHARASHTRA,10th Pass
3,Asit Mazumder (Tapan),CHUNCHURA,AITC,1,2 Crore+,0,WESTBENGAL,Graduate Professional
4,Hriday Narayan Singh Patel,SAGRI,SP,0,16 Crore+,2 Crore+,UTTARPRADESH,Post Graduate
5,Hakim Lal Bind,HANDIA,SP,3,3 Crore+,87 Lac+,UTTARPRADESH,Graduate
6,Kamlung Mosang,MIAO,BJP,0,6 Crore+,0,ARUNACHALPRADESH,Graduate Professional
7,Dr. Somendra Singh Tomar,MEERUT SOUTH,BJP,2,6 Crore+,63 Lac+,UTTARPRADESH,Doctorate
8,Jogaram Patel,LUNI,BJP,0,7 Crore+,16 Lac+,RAJASTHAN,Graduate Professional
9,Prabhu Jani,LAKSHMIPUR,BJD,0,40 Lac+,0,ODISHA,12th Pass
10,Bhabhor Shaileshbhai Sumanbhai,LIMKHEDA (ST),BJP,0,1 Crore+,28 Lac+,GUJARAT,Post Graduate
11,E.Balasubramaniyan,SALEM SOUTH,AIADMK,0,3 Crore+,39 Lac+,TAMILNADU,Graduate
12,Mohan Chandra Naskar,SATGACHHIA,AITC,0,25 Lac+,0,WESTBENGAL,Graduate
13,Mohammad Hasan,KANPUR CANTT.,SP,0,2 Crore+,9 Lac+,UTTARPRADESH,Post Graduate
14,Sada Sarvankar,MAHIM,SHS,4,25 Crore+,2 Crore+,MAHARASHTRA,10th Pass
15,Manikannan A J,ULUNDURPETTAI,DMK,4,5 Crore+,74 Lac+,TAMILNADU,10th Pass
16,Reena,PACHHAD (SC),BJP,0,0,42 Lac+,HIMACHALPRADESH,Post Graduate
17,Chudasama Vimalbhai Kanabhai,SOMNATH,INC,1,2 Crore+,12 Lac+,GUJARAT,Graduate
18,Gandhi M R,NAGERCOIL,BJP,0,50 Lac+,0,TAMILNADU,Graduate
19,Meena Singh,MANPUR (ST),BJP,0,0,32 Lac+,MADHYAPRADESH,Post Graduate
20,Kamlesh Kumar Singh,HUSSAINABAD,NCP,3,3 Crore+,2 Crore+,JHARKHAND,10th Pass
21,Kunwar Singh Tekam,DHAUHANI (ST),BJP,1,1 Crore+,31 Lac+,MADHYAPRADESH,Post Graduate
22,Nand Gopal Gupta (Nandi),ALLAHABAD SOUTH,BJP,7,37 Crore+,5 Crore+,UTTARPRADESH,12th Pass
23,Irfan Ansari,JAMTARA,INC,5,2 Crore+,34 Lac+,JHARKHAND,Post Graduate
24,R.C.Patel,JALALPORE,BJP,0,3 Crore+,78 Lac+,GUJARAT,10th Pass
25,Mosaraf Hussen,ITAHAR,AITC,1,3 Crore+,14 Lac+,WESTBENGAL,12th Pass
26,Dr. Shikha Meel Barala,CHOMU,INC,0,8 Crore+,1 Crore+,RAJASTHAN,Graduate Professional
27,Mayukh Mahar,PITHORAGARH,INC,0,0,2 Crore+,UTTARAKHAND,Post Graduate
28,Tumke Bagra,ALONG WEST,BJP,0,7 Crore+,0,ARUNACHALPRADESH,Graduate Professional
29,Dalbir Singh Tong,BABA BAKALA (SC),AAP,1,27 Lac+,0,PUNJAB,12th Pass
30,Kanubhai Mohanlal Desai,PARDI,BJP,0,10 Crore+,0,GUJARAT,Graduate Professional
31,Shakuntala Singh Portey,PRATAPPUR (ST),BJP,1,0,14 Lac+,CHHATTISGARH,Graduate Professional
32,Makwana Umeshbhai Naranbhai,BOTAD,AAP,0,85 Lac+,28 Lac+,GUJARAT,Graduate Professional
33,Masthan K S,GINGEE,DMK,29,2 Crore+,6 Lac+,TAMILNADU,8th Pass
34,Dilip Pandey,TIMARPUR,AAP,2,77 Lac+,0,DELHI,Post Graduate
35,Dr. Ragini,MACHHLISHAHR (SC),SP,0,10 Crore+,4 Crore+,UTTARPRADESH,Post Graduate
36,Gyanendra Singh,PANIYRA,BJP,0,2 Crore+,20 Lac+,UTTARPRADESH,10th Pass
37,Manoj Narayansingh Choudhari,HATPIPLIYA,BJP,0,2 Crore+,19 Lac+,MADHYAPRADESH,Post Graduate
38,Abdul Sattar Abdul Nabi,SILLOD,SHS,8,20 Crore+,1 Crore+,MAHARASHTRA,12th Pass
39,Hampanagouda Badarli,SINDHANUR,INC,1,9 Crore+,2 Crore+,KARNATAKA,Graduate
40,Jay Mangal,MAHARAJGANJ (SC),BJP,1,1 Crore+,30 Lac+,UTTARPRADESH,8th Pass
41,Jwenga Seb,TSEMINYU (ST),JD(U),0,7 Crore+,19 Lac+,NAGALAND,Graduate Professional
42,Adityanath,GORAKHPUR URBAN,BJP,0,1 Crore+,0,UTTARPRADESH,Graduate
43,Pankaj Singh,NOIDA,BJP,0,4 Crore+,12 Lac+,UTTARPRADESH,Graduate
44,Prashant Sharma,AMBER,INC,0,2 Crore+,0,RAJASTHAN,Graduate
45,Neena Vikram Verma,DHAR,BJP,0,11 Crore+,1 Crore+,MADHYAPRADESH,12th Pass
