ID,Candidate,Constituency ∇,Party,Criminal Case,Total Assets,Liabilities,state,Education
0,Indra Kumar Sahu,ABHANPUR,BJP,0,1 Crore+,,CHHATTISGARH,Graduate
1,Domanlal Korsewada,AHIWARA (SC),BJP,0,1 Crore+,9 Lac+,CHHATTISGARH,Post Graduate
2,Raghavendra Kumar Singh,AKALTARA,INC,0,14 Crore+,61 Lac+,CHHATTISGARH,Graduate Professional
3,Rajesh Agrawal,AMBIKAPUR,BJP,0,10 Crore+,2 Crore+,CHHATTISGARH,10th Pass
4,Vikram Usendi,ANTAGARH (ST),BJP,0,4 Crore+,,CHHATTISGARH,10th Pass
5,Guru Khushwant Saheb,ARANG (SC),BJP,0,2 Crore+,1 Crore+,CHHATTISGARH,Post Graduate
6,Bhaiya Lal Rajwade,BAIKUNTHPUR,BJP,0,2 Crore+,6 Lac+,CHHATTISGARH,10th Pass
7,Tank Ram Verma,BALODA BAZAR,BJP,0,2 Crore+,,CHHATTISGARH,Post Graduate
8,Sampat Agrawal,BASNA,BJP,0,11 Crore+,,CHHATTISGARH,Post Graduate
9,Lakheshwar Baghel,BASTAR (ST),INC,0,0,87 Lac+,CHHATTISGARH,Graduate
10,Sushant Shukla,BELTARA,BJP,1,4 Crore+,1 Crore+,CHHATTISGARH,12th Pass
11,Dipesh Sahu,BEMETARA,BJP,0,50 Lac+,,CHHATTISGARH,Post Graduate
12,Savitri Manoj Mandavi,BHANUPRATAPPUR (ST),INC,0,6 Crore+,1 Crore+,CHHATTISGARH,Graduate
13,Renuka Singh Saruta,BHARATPUR-SONHAT (ST),BJP,0,4 Crore+,4 Lac+,CHHATTISGARH,12th Pass
14,Indra Kumar Sao,BHATAPARA,INC,1,2 Crore+,5 Lac+,CHHATTISGARH,Post Graduate
15,Laxmi Rajwade,BHATGAON,BJP,0,1 Crore+,28 Lac+,CHHATTISGARH,12th Pass
16,Devendra Yadav,BHILAI NAGAR,INC,4,4 Crore+,2 Crore+,CHHATTISGARH,12th Pass
17,Vikram Mandavi,BIJAPUR (ST),INC,0,73 Lac+,22 Lac+,CHHATTISGARH,12th Pass
18,Kavita Pran Lahrey,BILAIGARH (SC),INC,0,1 Crore+,8 Lac+,CHHATTISGARH,Graduate
19,Amar Agrawal,BILASPUR,BJP,0,0,3 Crore+,CHHATTISGARH,Graduate
20,Dharam Lal Kaushik,BILHA,BJP,0,9 Crore+,,CHHATTISGARH,Post Graduate
21,Janak Ram Dhruw,BINDRANAWAGARH (ST),INC,0,1 Crore+,7 Lac+,CHHATTISGARH,Post Graduate
22,Ramkumar Yadav,CHANDRAPUR,INC,0,10 Lac+,,CHHATTISGARH,8th Pass
23,Vinayak Goyal,CHITRAKOT (ST),BJP,1,60 Lac+,6 Lac+,CHHATTISGARH,12th Pass
24,Chaitram Atami,DANTEWADA (ST),BJP,0,40 Lac+,4 Lac+,CHHATTISGARH,12th Pass
25,Onkar Sahu,DHAMTARI,INC,0,1 Crore+,,CHHATTISGARH,12th Pass
26,Laljit Singh Rathia,DHARAMJAIGARH (ST),INC,0,1 Crore+,93 Lac+,CHHATTISGARH,Post Graduate
27,Anuj Sharma,DHARSIWA,BJP,0,8 Crore+,51 Lac+,CHHATTISGARH,Post Graduate
28,Anila Bhendia,DONDI LOHARA (ST),INC,0,7 Crore+,96 Lac+,CHHATTISGARH,Post Graduate
29,Daleshwar Sahu,DONGARGAON,INC,0,0,2 Lac+,CHHATTISGARH,12th Pass
30,Harshita Swami Baghel,DONGARGARH (SC),INC,0,2 Crore+,63 Lac+,CHHATTISGARH,Post Graduate
31,Gajendra Yadav,DURG CITY,BJP,1,4 Crore+,20 Lac+,CHHATTISGARH,Post Graduate
32,Lalit Chandrakar,DURG-RURAL,BJP,0,13 Crore+,52 Lac+,CHHATTISGARH,Graduate
33,Kunwer Singh Nishad,GUNDERDEHI,INC,0,54 Lac+,3 Lac+,CHHATTISGARH,Post Graduate
