Party,Criminal Case,Total Assets,Liabilities,state,Education
DMK,0,600,400,WESTBENGAL,Graduate
INC,0,1100,3300,MADHYAPRADESH,Graduate
BJP,0,3900,4700,KARNATAKA,Post Graduate
BJP,0,70000,0,BIHAR,Post Graduate
BJP,0,2400,300,BIHAR,Post Graduate
DMK,25,10000,190000,TAMILNADU,12th Pass
DMK,4,10000,3100,TAMILNADU,Graduate Professional
BJP,0,4100,2400,GUJARAT,10th Pass
CPI(M),0,20000,7200,BIHAR,8th Pass
BJD,14,140000,30000,TAMILNADU,12th Pass
BJP,0,3900,1500,UTTARPRADESH,10th Pass
BJP,0,6480000,270000,HIMACHALPRADESH,12th Pass
BJP,0,890000,6500,UTTARPRADESH,12th Pass
CPI,0,4100,2700,KERALA,Graduate Professional
SP,4,1210000,10000,TAMILNADU,8th Pass
BJP,0,20000,1200,RAJASTHAN,12th Pass
NCP,3,80000,4100,TAMILNADU,10th Pass
SP,0,0,3700,JHARKHAND,Graduate
INC,0,100000,500,RAJASTHAN,Graduate
CPI(M),0,60000,0,TRIPURA,Post Graduate
BJP,0,6000,9100,KARNATAKA,Graduate
BJD,2,6000,50,BIHAR,Graduate Professional
DMK,0,20000,300,TAMILNADU,10th Pass
IND,0,0,3700,RAJASTHAN,Others
AAP,3,50000,2100,KARNATAKA,Graduate Professional
INC,3,20000,0,KARNATAKA,12th Pass
BJP,0,40000,240000,JHARKHAND,Graduate Professional
BJP,1,1280000,600,RAJASTHAN,12th Pass
SHS,0,30000,0,ANDHRAPRADESH,Graduate
BJP,0,50000,1800,JHARKHAND,Graduate Professional
YSRCP,0,180000,0,TAMILNADU,Graduate
INC,0,0,100,MAHARASHTRA,8th Pass
BJP,0,0,10000,JHARKHAND,8th Pass
DMK,0,90000,6100,UTTARPRADESH,10th Pass
SP,0,10000,5200,WESTBENGAL,12th Pass
DMK,21,30000,3200,KERALA,8th Pass
JD(U),0,20000,800,UTTARPRADESH,12th Pass
BJP,0,30000,3900,PUNJAB,Graduate
BJP,0,120000,200,UTTARPRADESH,Graduate
DMK,0,20000,1100,TAMILNADU,Post Graduate
JD(U),0,0,0,WESTBENGAL,Graduate Professional
AAP,0,6200,900,UTTARPRADESH,12th Pass
BJP,0,8900,1100,MAHARASHTRA,Graduate Professional
YSRCP,10,440000,30000,UTTARPRADESH,12th Pass
INC,4,1630000,49,KARNATAKA,12th Pass
BJP,0,110000,0,NAGALAND,Doctorate
BJP,0,170000,400,MANIPUR,10th Pass
DMK,2,220000,10000,TAMILNADU,12th Pass
AAP,3,0,2200,PUNJAB,12th Pass
TDP,0,0,10000,TAMILNADU,Post Graduate
DMK,22,0,1400,TAMILNADU,12th Pass
BJP,1,150000,8400,UTTARPRADESH,Graduate Professional
BJD,6,0,20000,TAMILNADU,Graduate
NCP,0,0,0,WESTBENGAL,12th Pass
INC,7,1280000,3600,KARNATAKA,10th Pass
DMK,9,1900,200,TAMILNADU,10th Pass
CPI(M),0,580000,0,GUJARAT,Graduate
CPI(M),0,880000,5000,BIHAR,Post Graduate
BJP,0,30000,0,PUDUCHERRY,Graduate
BJP,0,10000,5200,GUJARAT,Graduate
BJP,0,0,80000,HIMACHALPRADESH,Doctorate
SP,0,30000,30000,MANIPUR,Graduate Professional
NCP,1,3500,3100,TAMILNADU,8th Pass
BJD,3,3630000,5600,TAMILNADU,Post Graduate
AIADMK,1,3700,20000,UTTARAKHAND,Post Graduate
NDPP,0,1300,1800,TAMILNADU,Graduate
INC,3,420000,130000,ANDHRAPRADESH,10th Pass
CPI(M),13,70000,0,HARYANA,8th Pass
RJD,0,30000,10000,TAMILNADU,Graduate
IND,2,0,100,BIHAR,Graduate Professional
NCP,3,6600,50000,MEGHALAYA,10th Pass
INC,12,4410000,1700,ANDHRAPRADESH,Graduate Professional
INC,1,0,1700,MAHARASHTRA,Graduate Professional
TDP,14,260000,3200,UTTARPRADESH,Graduate
BJP,0,110000,10000,NAGALAND,Graduate
CPI(M),2,0,40000,MAHARASHTRA,Graduate Professional
Sikkim Krantikari Morcha,1,30000,1200,UTTARAKHAND,12th Pass
AITC,0,20000,10000,WESTBENGAL,Post Graduate
INC,7,40000,700,UTTARPRADESH,Post Graduate
AITC,0,10000,50000,WESTBENGAL,Graduate
INC,7,30000,400,MAHARASHTRA,Graduate Professional
DMK,3,140000,1000,TAMILNADU,Graduate Professional
YSRCP,0,9100,40000,BIHAR,Graduate
BJP,5,20000,0,BIHAR,12th Pass
AITC,0,30000,0,WESTBENGAL,12th Pass
BJP,0,3000,6500,MADHYAPRADESH,12th Pass
BJP,0,70000,30000,GUJARAT,Literate
AIADMK,0,40000,1600,MANIPUR,10th Pass
RJD,0,9400,1000,HARYANA,Graduate Professional
INC,0,3000,0,UTTARPRADESH,Graduate Professional
INC,2,590000,1500,ODISHA,12th Pass
BJP,0,40000,200,UTTARPRADESH,Graduate Professional
DMK,51,6600,120000,HIMACHALPRADESH,Doctorate
CPI(M),0,40000,400,CHHATTISGARH,Post Graduate
INC,0,4900,10000,UTTARPRADESH,Graduate
BJP,0,10000,3000,UTTARPRADESH,Doctorate
INC,1,150000,1700,BIHAR,10th Pass
AITC,0,0,0,WESTBENGAL,Post Graduate
RJD,0,20000,0,MAHARASHTRA,12th Pass
IND,0,10000,180000,MAHARASHTRA,8th Pass
CPI,6,2300,200,MAHARASHTRA,Graduate Professional
AAP,0,0,9300,PUDUCHERRY,Graduate
INC,1,500,5700,MADHYAPRADESH,Post Graduate
BJP,0,40000,20000,MANIPUR,Graduate Professional
DMK,1,8300,10,ANDHRAPRADESH,Graduate Professional
DMK,0,10000,8200,MADHYAPRADESH,12th Pass
INC,0,0,40000,HIMACHALPRADESH,Others
BJP,0,40000,3800,ASSAM,5th Pass
BJP,0,0,8300,ANDHRAPRADESH,Graduate Professional
AITC,0,0,0,UTTARPRADESH,Post Graduate
BJP,0,30000,3000,SIKKIM,Graduate
BJP,1,10000,800,UTTARPRADESH,Graduate
AAP,19,660000,10000,ARUNACHALPRADESH,12th Pass
BJP,0,3600,10000,ANDHRAPRADESH,Graduate Professional
BJP,0,4500,2200,DELHI,12th Pass
BJP,0,340000,10000,MADHYAPRADESH,10th Pass
DMK,2,20000,9600,MANIPUR,Graduate Professional
BJP,0,1200,1000,GOA,Graduate
DMK,9,2600,2900,TAMILNADU,8th Pass
AIADMK,1,70000,50000,MAHARASHTRA,Graduate
DMK,4,40000,10000,TAMILNADU,12th Pass
AITC,0,30000,0,WESTBENGAL,10th Pass
BJP,0,10000,7200,ODISHA,Post Graduate
SP,0,440000,1200,MANIPUR,Graduate
AAP,6,0,170000,NAGALAND,12th Pass
DMK,99,80000,70000,TAMILNADU,12th Pass
BJD,0,1800,60000,UTTARPRADESH,Graduate
TDP,0,10000,7400,KERALA,Graduate
YSRCP,3,80000,340000,MADHYAPRADESH,Graduate
INC,0,6500,45,MADHYAPRADESH,Graduate Professional
BJD,4,210000,3000,HIMACHALPRADESH,Doctorate
BJP,0,80000,0,UTTARPRADESH,Graduate Professional
NPP,47,30000,2830000,ANDHRAPRADESH,Graduate
CPI(M),5,140000,3200,SIKKIM,10th Pass
DMK,4,20000,7600,TAMILNADU,12th Pass
IND,0,8800,10000,UTTARPRADESH,Others
BJD,0,40000,0,GUJARAT,Doctorate
BJP,1,40000,3200,MADHYAPRADESH,10th Pass
BJP,0,10000,400,ARUNACHALPRADESH,10th Pass
SHS,0,20000,3100,ARUNACHALPRADESH,12th Pass
INC,0,1600,5500,KARNATAKA,Graduate
DMK,22,7700,60000,TAMILNADU,12th Pass
AAP,0,30000,10000,BIHAR,Doctorate
BJD,0,40000,10000,MADHYAPRADESH,Graduate Professional
INC,6,5000000,2800,MADHYAPRADESH,Graduate Professional
BJP,0,30000,7400,UTTARPRADESH,12th Pass
DMK,10,6700,0,TAMILNADU,12th Pass
BJP,0,300000,260000,TAMILNADU,Graduate
BJD,0,30000,110000,WESTBENGAL,12th Pass
BJP,0,420000,270000,RAJASTHAN,Graduate
JMM,0,60000,1200,GUJARAT,Others
BJP,0,5800,15,BIHAR,Post Graduate
SHS,0,2600,5500,UTTARPRADESH,Graduate Professional
BJP,2,1400,0,UTTARPRADESH,Graduate Professional
NPP,0,150000,2500,MEGHALAYA,Graduate
DMK,16,20000,30000,TAMILNADU,Graduate
YSRCP,0,10000,0,JHARKHAND,10th Pass
BJP,1,5300,0,TAMILNADU,Others
BJD,42,4600,3000,CHHATTISGARH,Graduate
IND,0,170000,10000,TAMILNADU,Graduate Professional
BJP,0,30000,200,UTTARPRADESH,Graduate Professional
BJP,0,20000,80000,GUJARAT,10th Pass
DMK,7,2100,2000,KARNATAKA,12th Pass
INC,0,2100,9000,KARNATAKA,12th Pass
BJP,0,30000,10000,BIHAR,Doctorate
AAP,0,220000,3600,BIHAR,Graduate
YSRCP,5,10000,20000,BIHAR,Graduate Professional
INC,0,2200,9000,KARNATAKA,12th Pass
INC,0,30000,500,MADHYAPRADESH,12th Pass
AITC,0,50000,0,WESTBENGAL,Post Graduate
IND,0,0,0,JHARKHAND,Graduate
CPI(M),0,10000,60000,CHHATTISGARH,Graduate Professional
