Party,Criminal Case,Total Assets,Liabilities,state,Education
BJD,0,0,1600,GUJARAT,Post Graduate
YSRCP,1,60000,400,CHHATTISGARH,Doctorate
CPI,0,0,2000,WESTBENGAL,Graduate
YSRCP,6,20000,300000,RAJASTHAN,Post Graduate
BJP,0,270000,3200,HIMACHALPRADESH,Graduate
RJD,1,3700,0,TAMILNADU,Graduate
AAP,3,70000,2800,KERALA,10th Pass
BJP,2,50000,1300,BIHAR,Graduate Professional
INC,0,80000,2100,BIHAR,10th Pass
INC,0,200000,4500,WESTBENGAL,Post Graduate
INC,11,0,30000,PUNJAB,Graduate
BJP,0,10000,5900,JHARKHAND,10th Pass
BJP,2,130000,74,RAJASTHAN,Graduate Professional
DMK,0,7100,500,TAMILNADU,8th Pass
DMK,0,2300,1900,BIHAR,Graduate
BJP,0,10000,2000,PUDUCHERRY,Graduate Professional
YSRCP,0,340000,1600,RAJASTHAN,10th Pass
AITC,2,10000,60000,GOA,Graduate
BJP,0,40000,40000,MEGHALAYA,Graduate
INC,0,5300,0,KERALA,Post Graduate
DMK,1,4900,30000,TAMILNADU,Graduate Professional
BJP,2,40000,0,MAHARASHTRA,10th Pass
BJP,0,60000,2100,KERALA,Post Graduate
INC,0,170000,0,DELHI,12th Pass
BJP,3,10000,2300,ANDHRAPRADESH,Post Graduate
BJP,8,10000,110000,RAJASTHAN,Graduate Professional
BJD,2,10000,2700,TRIPURA,12th Pass
YSRCP,1,20000,300,MAHARASHTRA,Graduate
INC,22,70000,800,KERALA,Post Graduate
BJP,0,30000,1900,KERALA,Post Graduate
AIADMK,0,1020000,2100,HIMACHALPRADESH,Post Graduate
DMK,4,20000,400,MEGHALAYA,Post Graduate
INC,1,20000,340000,JHARKHAND,12th Pass
BJP,0,60000,130000,DELHI,Graduate Professional
BJP,0,60000,6100,UTTARAKHAND,12th Pass
BJP,2,10000,30000,MAHARASHTRA,Graduate Professional
RJD,0,4410000,75,GOA,Graduate Professional
INC,0,70000,2800,TAMILNADU,Graduate Professional
RJD,0,60000,3500,GUJARAT,Graduate
DMK,51,0,6500,DELHI,Graduate
BJP,0,20000,74,RAJASTHAN,Graduate
BJP,0,10000,1500,MAHARASHTRA,10th Pass
BJP,9,60000,0,MEGHALAYA,Graduate
BJP,25,8800,200,UTTARPRADESH,12th Pass
BJP,0,4400,560000,WESTBENGAL,Graduate
DMK,3,5200,30000,JHARKHAND,Graduate
BJP,8,180000,300,ODISHA,10th Pass
YSRCP,0,30000,7600,BIHAR,12th Pass
DMK,0,10000,180000,KARNATAKA,12th Pass
YSRCP,1,4390000,700,TAMILNADU,Post Graduate
JMM,1,950000,30000,ODISHA,10th Pass
BJD,0,60000,3900,KARNATAKA,Post Graduate
BJP,3,0,900,JHARKHAND,Graduate
CPI(M),0,900,0,MAHARASHTRA,Graduate
BJP,7,170000,1300,MAHARASHTRA,10th Pass
BJP,0,10000,7400,GUJARAT,Graduate
INC,1,100000,6100,KARNATAKA,Graduate
SP,0,2500,8200,GUJARAT,Post Graduate
BJP,0,10000,99,WESTBENGAL,Graduate
JMM,1,80000,20000,ANDHRAPRADESH,Post Graduate
DMK,0,40000,30000,TRIPURA,Graduate Professional
BJP,3,210000,6500,WESTBENGAL,12th Pass
BJP,3,10000,9700,KARNATAKA,Graduate
BJP,0,150000,400,ANDHRAPRADESH,12th Pass
BJP,0,6700,20000,MAHARASHTRA,12th Pass
SP,0,10000,170000,KARNATAKA,Graduate
INC,1,6400,10000,MAHARASHTRA,Graduate
BJP,0,0,10000,CHHATTISGARH,10th Pass
BJP,0,50000,1200,DELHI,Graduate
AAP,0,60000,70,MAHARASHTRA,12th Pass
BJP,6,50000,0,MANIPUR,Post Graduate
AAP,2,40000,2800,UTTARPRADESH,Graduate
INC,0,70000,6600,KERALA,Post Graduate
INC,3,2300,2300,TAMILNADU,Graduate Professional
SHS,0,660000,100,TRIPURA,Literate
BJP,2,0,2000,KARNATAKA,Graduate
AIADMK,0,1300000,800,JHARKHAND,Graduate Professional
BJP,0,10000,0,JHARKHAND,Others
JD(S),18,580000,70000,RAJASTHAN,Doctorate
BJP,5,580000,10000,KERALA,Post Graduate
INC,30,20000,600,ANDHRAPRADESH,Post Graduate
AAP,0,0,10000,KARNATAKA,Post Graduate
BJP,2,440000,7800,WESTBENGAL,Graduate
DMK,7,20000,2300,MADHYAPRADESH,Graduate
BJP,0,30000,2200,MADHYAPRADESH,12th Pass
DMK,6,20000,200,ANDHRAPRADESH,12th Pass
BJP,13,1210000,0,WESTBENGAL,Graduate Professional
BJP,0,2200,10000,HIMACHALPRADESH,12th Pass
INC,5,5300,2500,MADHYAPRADESH,5th Pass
BJP,0,40000,30000,KARNATAKA,12th Pass
NDPP,0,0,2000,ODISHA,Doctorate
JD(S),0,4350000,5300,WESTBENGAL,Post Graduate
INC,0,80000,20000,MADHYAPRADESH,Post Graduate
DMK,0,3500,300,UTTARPRADESH,10th Pass
NPP,2,6700,12,HARYANA,Graduate
CPI,2,30000,5000,CHHATTISGARH,Graduate Professional
INC,0,80000,2300,UTTARPRADESH,Graduate
AIADMK,1,90000,2500,GUJARAT,Doctorate
BJP,0,5200,50000,RAJASTHAN,12th Pass
AITC,7,50000,10000,TAMILNADU,Post Graduate
AAP,3,4800,10000,ANDHRAPRADESH,12th Pass
AITC,1,10000,0,MAHARASHTRA,Graduate Professional
BJP,0,6700,0,WESTBENGAL,12th Pass
SP,0,160000,2400,JHARKHAND,10th Pass
IND,0,20000,30000,UTTARPRADESH,Graduate
INC,22,2200,2900,DELHI,Literate
BJP,0,10000,300,KERALA,10th Pass
BJP,0,580000,200,ODISHA,Graduate
BJP,12,20000,99,KARNATAKA,Graduate
BJP,0,70000,4600,MAHARASHTRA,Graduate
BJP,1,100000,3000,GUJARAT,Post Graduate
INC,0,20000,2300,WESTBENGAL,Graduate
NPP,5,20000,40000,PUNJAB,Graduate
BJP,0,60000,1400,WESTBENGAL,10th Pass
INC,3,30000,340000,JHARKHAND,Graduate Professional
BJD,0,820000,1000,DELHI,Graduate
INC,0,80000,3000,ODISHA,Graduate Professional
BJP,5,9300,1300,CHHATTISGARH,Post Graduate
INC,0,0,300,JHARKHAND,12th Pass
CPI,0,580000,1400,MAHARASHTRA,Post Graduate
AITC,0,2400,2100,UTTARAKHAND,Graduate
DMK,0,2400,1600,ANDHRAPRADESH,Graduate Professional
BJP,7,60000,900,RAJASTHAN,Doctorate
BJD,3,2600,10000,PUNJAB,10th Pass
AITC,0,5600,1700,MAHARASHTRA,Post Graduate
NCP,0,120000,160000,TAMILNADU,8th Pass
AAP,1,290000,500,UTTARAKHAND,Doctorate
BJP,1,2000,200,KARNATAKA,Others
BJP,0,20000,1200,UTTARPRADESH,Graduate Professional
BJP,0,40000,40000,MAHARASHTRA,8th Pass
BJP,0,6600,10000,TAMILNADU,Doctorate
YSRCP,1,10000,0,JHARKHAND,Post Graduate
INC,0,10000,1400,GOA,Graduate
YSRCP,2,10000,6000,TAMILNADU,Graduate Professional
BJP,3,110000,0,MADHYAPRADESH,Post Graduate
BJP,0,60000,97,KARNATAKA,Post Graduate
AITC,25,9800,230000,WESTBENGAL,12th Pass
BJP,0,10000,140000,BIHAR,Post Graduate
BJP,2,20000,100,CHHATTISGARH,10th Pass
BJP,14,150000,20000,MANIPUR,Post Graduate
BJP,0,0,1300,BIHAR,Post Graduate
YSRCP,1,9500,300,DELHI,Post Graduate
JD(S),4,790000,4000,WESTBENGAL,Graduate Professional
BJP,0,50000,1300,MADHYAPRADESH,10th Pass
RJD,7,4000,2400,UTTARPRADESH,Post Graduate
BJP,0,8900,600,GUJARAT,12th Pass
DMK,0,3700,6800,JHARKHAND,Post Graduate
BJP,7,80000,4600,BIHAR,Graduate
DMK,0,10000,470000,GUJARAT,Graduate
BJP,0,70000,40000,KARNATAKA,Post Graduate
INC,0,40000,800,GUJARAT,12th Pass
YSRCP,0,30000,0,GOA,12th Pass
DMK,3,3500,0,TAMILNADU,10th Pass
INC,1,0,40000,ASSAM,12th Pass
INC,51,10000,20000,BIHAR,Post Graduate
TDP,0,10000,2800,WESTBENGAL,Graduate
BJP,14,50000,200,MAHARASHTRA,Graduate
BJP,0,530000,2600,HARYANA,10th Pass
BJP,0,50000,0,TAMILNADU,Post Graduate
BJP,1,780000,0,UTTARAKHAND,10th Pass
AITC,1,100000,1600,BIHAR,12th Pass
INC,0,10000,2650000,ANDHRAPRADESH,10th Pass
INC,0,70000,0,TAMILNADU,Others
INC,0,10000,20000,TAMILNADU,Graduate Professional
AAP,0,10000,1300,BIHAR,10th Pass
BJP,0,370000,10000,UTTARPRADESH,Post Graduate
BJD,9,50000,2650000,WESTBENGAL,Graduate
CPI,0,6700,2400,BIHAR,Graduate Professional
INC,1,10000,500,HARYANA,Post Graduate
BJD,5,1220000,2000,ANDHRAPRADESH,Graduate
SHS,2,20000,3000,ODISHA,Others
JD(S),0,120000,2100,DELHI,12th Pass
INC,3,210000,0,TAMILNADU,12th Pass
BJP,0,10000,0,MADHYAPRADESH,Graduate
BJP,0,10000,1700,RAJASTHAN,Post Graduate
YSRCP,3,100000,4700,TAMILNADU,Graduate Professional
BJP,0,420000,300,BIHAR,10th Pass
IND,0,420000,6200,PUDUCHERRY,10th Pass
BJP,1,8900,30000,GUJARAT,Graduate
YSRCP,3,290000,500,UTTARPRADESH,8th Pass
BJP,2,70000,20000,ASSAM,Post Graduate
CPI(M),3,40000,6800,PUNJAB,Post Graduate
AITC,0,160000,30000,UTTARPRADESH,Post Graduate
BJP,1,970000,1700,UTTARPRADESH,12th Pass
NPP,0,100000,2800,MADHYAPRADESH,Graduate Professional
INC,4,1210000,2000,RAJASTHAN,Graduate Professional
BJP,5,30000,900,MEGHALAYA,Graduate
INC,1,4700,800,MANIPUR,Post Graduate
CPI(M),0,60000,100,SIKKIM,10th Pass
INC,21,50000,30000,MAHARASHTRA,Post Graduate
AITC,1,5000,0,PUNJAB,12th Pass
SHS,1,220000,1200,CHHATTISGARH,Post Graduate
BJP,25,40000,10000,ANDHRAPRADESH,Graduate Professional
BJP,0,100000,30000,TAMILNADU,Graduate Professional
IND,0,0,300,JHARKHAND,12th Pass
BJP,0,8500,0,GUJARAT,8th Pass
INC,14,1070000,300,UTTARPRADESH,Graduate
BJP,18,9900,1300,TAMILNADU,Graduate Professional
BJP,10,1400,20000,WESTBENGAL,Graduate
BJD,1,0,5300,UTTARAKHAND,Graduate Professional
INC,1,40000,40000,MAHARASHTRA,10th Pass
BJP,0,0,2100,MAHARASHTRA,Post Graduate
NCP,0,20000,10000,KARNATAKA,Graduate
INC,0,110000,6000,GUJARAT,10th Pass
YSRCP,1,30000,40000,WESTBENGAL,12th Pass
DMK,0,4400,97,KERALA,Post Graduate
BJP,1,10000,7400,BIHAR,Post Graduate
YSRCP,4,80000,2500,KERALA,12th Pass
CPI(M),0,10000,1300,MADHYAPRADESH,Doctorate
AITC,5,4410000,600,GUJARAT,Graduate Professional
JMM,7,480000,0,UTTARAKHAND,Graduate Professional
BJP,4,10000,4800,ODISHA,10th Pass
DMK,0,1700,0,PUDUCHERRY,12th Pass
IND,1,5300,20000,UTTARPRADESH,Post Graduate
INC,0,0,0,MAHARASHTRA,Graduate
JD(U),11,70000,7600,DELHI,10th Pass
BJP,5,40000,1300,TAMILNADU,Literate
IND,0,50000,3500,KARNATAKA,Graduate Professional
BJP,0,10000,600,ARUNACHALPRADESH,10th Pass
AIADMK,0,4300,760000,DELHI,Post Graduate
BJP,2,2200,0,RAJASTHAN,Graduate
AITC,0,4600,3500,WESTBENGAL,12th Pass
AITC,0,20000,0,SIKKIM,Graduate
NPP,0,80000,100,HARYANA,Post Graduate
INC,2,76,4000,KARNATAKA,Graduate
DMK,0,0,200,ANDHRAPRADESH,10th Pass
AAP,12,70000,3200,TRIPURA,12th Pass
BJP,1,130000,200,GUJARAT,12th Pass
DMK,0,30000,8400,MADHYAPRADESH,10th Pass
INC,0,10000,7800,MADHYAPRADESH,10th Pass
IND,0,10000,30000,TAMILNADU,12th Pass
BJP,0,50000,10000,ANDHRAPRADESH,Doctorate
NPP,2,250000,2100,HIMACHALPRADESH,Post Graduate
BJP,0,10000,300,TAMILNADU,Post Graduate
BJD,10,6900,10000,HARYANA,Graduate
DMK,8,6000,140000,DELHI,Graduate
RJD,4,0,0,KERALA,Graduate Professional
BJP,3,0,80000,DELHI,Post Graduate
AITC,0,250000,3000,BIHAR,12th Pass
NPP,2,20000,0,GUJARAT,Graduate
BJP,5,20000,40000,GUJARAT,Post Graduate
RJD,8,30000,3000,ODISHA,Graduate
AAP,0,390000,35,MAHARASHTRA,Post Graduate
YSRCP,0,10000,0,UTTARPRADESH,Post Graduate
JD(U),0,140000,12,KERALA,10th Pass
BJP,7,90000,0,KARNATAKA,Graduate
IND,0,140000,20000,BIHAR,Graduate
BJP,0,290000,1300,KERALA,12th Pass
RJD,0,110000,3200,RAJASTHAN,Post Graduate
IND,99,20000,10000,HARYANA,Graduate
AITC,4,160000,1200,JHARKHAND,12th Pass
BJP,0,70000,0,UTTARAKHAND,12th Pass
BJP,0,0,7700,GUJARAT,Graduate
INC,0,10000,30000,HIMACHALPRADESH,Graduate Professional
YSRCP,0,7200,6100,ODISHA,Graduate
BJP,0,210000,0,ASSAM,Graduate Professional
BJP,0,9800,30000,MAHARASHTRA,Graduate Professional
BJP,0,7800,500,TAMILNADU,Graduate
NPP,5,20000,0,HIMACHALPRADESH,8th Pass
DMK,0,0,30000,KARNATAKA,12th Pass
DMK,7,50000,1000,BIHAR,10th Pass
AAP,0,10000,2400,TAMILNADU,Others
JMM,2,40000,1300,JHARKHAND,10th Pass
BJP,0,100000,5000,GUJARAT,10th Pass
BJP,2,0,340000,KARNATAKA,Graduate
INC,0,0,5300,BIHAR,Post Graduate
DMK,0,10000,20000,WESTBENGAL,Graduate
AAP,0,110000,400,ANDHRAPRADESH,Post Graduate
AAP,8,10000,40000,HIMACHALPRADESH,Graduate
BJP,18,70000,4100,UTTARPRADESH,Post Graduate
BJP,7,250000,2300,KARNATAKA,10th Pass
RJD,2,100000,4000,BIHAR,Post Graduate
INC,8,10000,200000,PUNJAB,10th Pass
BJP,5,20000,10000,BIHAR,Graduate Professional
JD(S),2,1600,20000,BIHAR,12th Pass
NDPP,0,0,70,TAMILNADU,Post Graduate
BJP,0,70000,1600,HARYANA,Graduate
BJP,3,2300,4600,MAHARASHTRA,Post Graduate
BJP,1,10000,20000,ASSAM,Post Graduate
INC,1,10000,800,KERALA,12th Pass
BJP,14,10000,110000,RAJASTHAN,Graduate
RJD,0,6700,600,KERALA,Graduate
BJP,4,150000,3400,GUJARAT,10th Pass
Tipra Motha Party,1,70000,2300,WESTBENGAL,12th Pass
INC,2,610000,2300,UTTARPRADESH,8th Pass
DMK,0,50000,900,ODISHA,12th Pass
BJP,1,4500,1200,GUJARAT,10th Pass
BJP,1,5700,900,TAMILNADU,10th Pass
INC,0,280000,1100,MADHYAPRADESH,Graduate Professional
BJD,0,80000,70000,MAHARASHTRA,Post Graduate
BJP,0,10000,20000,CHHATTISGARH,Post Graduate
YSRCP,0,10000,20000,WESTBENGAL,Graduate
INC,0,4300,0,BIHAR,Graduate
NPP,4,20000,100,DELHI,Graduate
BJP,12,7300,0,TAMILNADU,10th Pass
BJP,0,100000,3100,KERALA,10th Pass
BJP,11,200000,2200,MAHARASHTRA,Graduate Professional
BJP,2,40000,10000,HARYANA,Graduate
BJP,0,80000,1200,ANDHRAPRADESH,Graduate Professional
BJP,5,0,20000,HARYANA,Post Graduate
BJP,0,10000,0,BIHAR,Graduate
CPI(M),0,70000,5500,MADHYAPRADESH,12th Pass
BJP,0,10000,6500,TAMILNADU,Post Graduate
YSRCP,29,60000,230000,ANDHRAPRADESH,10th Pass
BJP,2,20000,1100,ANDHRAPRADESH,Graduate
YSRCP,0,500000,0,PUNJAB,10th Pass
BJP,0,90000,2300,MADHYAPRADESH,12th Pass
DMK,0,5900,170000,JHARKHAND,Post Graduate
AITC,6,10000,900,PUNJAB,Graduate
NDPP,0,9000,20000,ASSAM,Others
BJP,1,20000,200,TAMILNADU,12th Pass
CPI(M),0,1000,1100,BIHAR,Graduate Professional
INC,2,10000,20000,BIHAR,10th Pass
BJP,0,20000,8400,TAMILNADU,Graduate
BJP,4,0,400,HIMACHALPRADESH,Graduate
IND,173,150000,1200,MANIPUR,10th Pass
NPP,1,0,3200,ANDHRAPRADESH,Doctorate
BJP,7,9300,0,KERALA,Post Graduate
BJP,0,20000,5300,JHARKHAND,10th Pass
BJP,3,130000,300,MEGHALAYA,10th Pass
BJP,10,50000,40000,DELHI,10th Pass
BJP,1,220000,40000,DELHI,Graduate
IND,0,0,10000,KERALA,Graduate
NCP,47,4400,30000,SIKKIM,10th Pass
CPI,2,1260000,100,UTTARPRADESH,10th Pass
BJP,0,700000,30000,BIHAR,Post Graduate
INC,7,150000,1200,BIHAR,Post Graduate
DMK,2,300000,1500,MAHARASHTRA,10th Pass
NDPP,1,9500,6300,ODISHA,Graduate
IND,0,10000,20000,PUNJAB,Graduate
INC,8,140000,24,KARNATAKA,Post Graduate
DMK,0,100000,4000,TAMILNADU,10th Pass
BJP,7,830000,6100,UTTARPRADESH,Graduate
BJP,2,4300,1400,WESTBENGAL,10th Pass
BJP,1,0,2700,TRIPURA,Post Graduate
BJP,1,580000,1000,TAMILNADU,Graduate
BJP,4,10000,5000,KERALA,Graduate
BJP,3,130000,500,UTTARPRADESH,Graduate Professional
BJP,16,9400,10000,MEGHALAYA,Post Graduate
DMK,0,60000,0,KARNATAKA,Graduate
DMK,2,0,0,BIHAR,10th Pass
AITC,1,370000,2000,DELHI,Graduate Professional
YSRCP,0,0,800,TAMILNADU,10th Pass
