Party,Criminal Case,Total Assets,Liabilities,state,Education
SP,2,30000,900,UTTARPRADESH,Graduate
BJD,19,300000,2650000,ODISHA,Post Graduate
DMK,25,50000,1700,TAMILNADU,10th Pass
AITC,0,3500,0,WESTBENGAL,Graduate
BJP,4,510000,0,WESTBENGAL,8th Pass
DMK,99,1210000,90000,TAMILNADU,12th Pass
AAP,2,350000,170000,PUNJAB,12th Pass
INC,0,30000,1600,HARYANA,10th Pass
DMK,0,20000,1300,HIMACHALPRADESH,Graduate
BJP,0,20000,600,MADHYAPRADESH,5th Pass
YSRCP,2,0,210000,ANDHRAPRADESH,Graduate
INC,25,20000,10000,MAHARASHTRA,Graduate
NPP,0,30000,1900,MANIPUR,12th Pass
AAP,2,720000,73,ANDHRAPRADESH,Graduate
BJP,0,4800,0,GUJARAT,Post Graduate
NCP,0,30000,0,NAGALAND,12th Pass
YSRCP,2,510000,7100,ANDHRAPRADESH,Post Graduate
BJP,0,30000,500,RAJASTHAN,Graduate
CPI(M),6,20000,0,TRIPURA,12th Pass
INC,9,6400,400,BIHAR,Doctorate
NCP,1,120000,20000,MAHARASHTRA,Graduate
SP,3,60000,1500,UTTARPRADESH,12th Pass
BJP,2,380000,560000,MAHARASHTRA,Literate
INC,0,10000,6000,BIHAR,Doctorate
BJP,0,230000,110000,MAHARASHTRA,Graduate
Tipra Motha Party,0,5000,0,TRIPURA,Graduate Professional
SP,0,10000,0,UTTARPRADESH,Graduate
YSRCP,7,190000,50000,ANDHRAPRADESH,12th Pass
BJP,0,50000,5200,UTTARPRADESH,Literate
INC,0,40000,3100,CHHATTISGARH,Post Graduate
CPI(M),2,10000,100,WESTBENGAL,10th Pass
CPI(M),0,5100,0,MAHARASHTRA,12th Pass
SP,1,30000,1400,UTTARPRADESH,Graduate Professional
AITC,2,9000,0,WESTBENGAL,Post Graduate
INC,0,300000,0,ARUNACHALPRADESH,12th Pass
SHS,0,20000,3900,MAHARASHTRA,12th Pass
INC,13,6300,210000,MAHARASHTRA,Graduate Professional
INC,3,0,1900,JHARKHAND,12th Pass
BJP,1,60000,1400,MAHARASHTRA,12th Pass
NPP,0,10000,3200,MANIPUR,Graduate
JD(U),1,9000,0,BIHAR,Post Graduate
INC,7,4100,4000,KERALA,Graduate Professional
INC,0,90000,200,KARNATAKA,Graduate
INC,0,20000,3500,ASSAM,Graduate
BJD,0,2400,0,ODISHA,12th Pass
SHS,0,40000,4600,MAHARASHTRA,10th Pass
SP,38,0,10000,UTTARPRADESH,Graduate
NCP,0,10000,7000,ODISHA,Graduate Professional
NPP,0,140000,0,MEGHALAYA,Graduate
BJD,0,6200,200,ODISHA,Graduate
BJP,0,20000,0,UTTARPRADESH,10th Pass
YSRCP,0,420000,2300,ANDHRAPRADESH,12th Pass
YSRCP,0,280000,120000,ANDHRAPRADESH,Post Graduate
CPI(M),0,3700,0,KERALA,10th Pass
BJP,0,60000,4800,MADHYAPRADESH,Graduate Professional
BJP,1,0,400,JHARKHAND,10th Pass
DMK,7,8800,0,ODISHA,Graduate Professional
BJP,0,30000,900,MADHYAPRADESH,Others
AITC,0,6600,9600,WESTBENGAL,Post Graduate
SP,16,0,0,MAHARASHTRA,12th Pass
BJP,3,10000,900,JHARKHAND,Graduate
CPI(M),4,5900,0,TRIPURA,Graduate Professional
BJP,1,110000,40000,ODISHA,Graduate Professional
BJP,10,50000,0,UTTARPRADESH,12th Pass
INC,0,280000,0,JHARKHAND,8th Pass
BJP,0,480000,180000,GUJARAT,10th Pass
BJP,1,9800,2000,GUJARAT,10th Pass
INC,13,6000,0,KARNATAKA,Graduate
IND,52,0,3000,TAMILNADU,10th Pass
YSRCP,1,0,50000,ANDHRAPRADESH,12th Pass
BJP,19,30000,10000,KARNATAKA,12th Pass
DMK,0,30000,0,TAMILNADU,Graduate Professional
RJD,8,20000,2900,UTTARPRADESH,Graduate Professional
CPI(M),4,20000,1100,WESTBENGAL,Graduate Professional
NDPP,0,6700,0,NAGALAND,Post Graduate
SHS,8,60000,20000,MAHARASHTRA,Graduate Professional
IND,0,240000,0,UTTARAKHAND,Graduate
YSRCP,1,0,8100,ANDHRAPRADESH,Doctorate
BJP,0,10000,5300,UTTARPRADESH,Doctorate
DMK,14,200000,40000,TAMILNADU,Graduate
BJP,3,20000,0,BIHAR,5th Pass
YSRCP,2,0,50000,ANDHRAPRADESH,Post Graduate
AAP,3,2600,9800,PUNJAB,Post Graduate
BJP,0,60000,10000,UTTARPRADESH,Graduate
BJP,1,30000,200,ASSAM,10th Pass
BJD,9,70000,100,ODISHA,12th Pass
INC,6,20000,8500,BIHAR,Graduate
BJD,0,10000,700,ODISHA,10th Pass
NPP,3,30000,30000,MEGHALAYA,Graduate
BJP,3,30000,2700,UTTARPRADESH,12th Pass
BJD,0,50000,400,ODISHA,Graduate
JMM,1,10000,0,JHARKHAND,12th Pass
BJP,0,2900,10000,HIMACHALPRADESH,12th Pass
INC,2,920000,94,KERALA,Graduate
BJP,0,80000,3200,HIMACHALPRADESH,Post Graduate
AAP,1,820000,15,MAHARASHTRA,10th Pass
Sikkim Krantikari Morcha,0,6200,200,SIKKIM,Graduate
DMK,9,40000,8200,TAMILNADU,Graduate
INC,0,7000,5700,ASSAM,Graduate
INC,5,330000,20000,KARNATAKA,Graduate
BJP,0,60000,10000,MAHARASHTRA,Graduate Professional
BJP,5,260000,6200,BIHAR,Graduate
INC,0,40000,10000,KARNATAKA,Graduate
INC,11,0,90,ODISHA,12th Pass
INC,0,30000,0,UTTARAKHAND,8th Pass
BJP,1,10000,900,CHHATTISGARH,Others
JD(U),0,20000,0,BIHAR,5th Pass
DMK,0,280000,70000,TAMILNADU,8th Pass
AIADMK,0,30000,6200,TAMILNADU,10th Pass
JD(U),1,7000,1700,BIHAR,Graduate Professional
BJD,3,30000,0,ODISHA,12th Pass
INC,0,1830000,410000,KARNATAKA,Graduate Professional
YSRCP,2,10000,0,WESTBENGAL,Post Graduate
BJP,14,540000,0,RAJASTHAN,10th Pass
AITC,1,6000,0,WESTBENGAL,8th Pass
BJP,0,40000,6200,KARNATAKA,Graduate
INC,0,20000,1600,HARYANA,Graduate
INC,0,150000,40000,RAJASTHAN,Graduate
INC,0,200000,1200,CHHATTISGARH,Graduate
AITC,1,4100,0,WESTBENGAL,Graduate
SP,0,160000,0,UTTARPRADESH,Post Graduate
IND,1,3700,10000,HARYANA,10th Pass
BJD,3,5700,0,ODISHA,Graduate Professional
BJD,0,2400,3700,ODISHA,12th Pass
DMK,0,1210000,90000,TAMILNADU,10th Pass
BJP,0,90000,4100,RAJASTHAN,Literate
AIADMK,0,80000,1700,TAMILNADU,Graduate
BJP,0,50000,7200,MADHYAPRADESH,Graduate
YSRCP,38,0,10000,ANDHRAPRADESH,12th Pass
SP,0,130000,20000,UTTARPRADESH,Graduate Professional
INC,1,1380000,2650000,KARNATAKA,Graduate
DMK,29,2300,800,TAMILNADU,10th Pass
YSRCP,0,50000,6000,RAJASTHAN,Post Graduate
CPI(M),0,20000,500,KERALA,Graduate Professional
INC,3,10000,8700,ASSAM,Graduate
AITC,1,4100,0,WESTBENGAL,Graduate
BJP,0,70000,2300,RAJASTHAN,Graduate
RJD,3,5200,1600,MAHARASHTRA,12th Pass
AAP,0,420000,170000,PUNJAB,Graduate Professional
SP,2,240000,0,UTTARPRADESH,Post Graduate
INC,0,510000,230000,KARNATAKA,10th Pass
INC,0,7700,1600,GOA,Others
JD(U),3,30000,1800,BIHAR,Doctorate
INC,0,20000,800,RAJASTHAN,Graduate
JD(U),1,60000,0,BIHAR,Doctorate
INC,0,20000,1500,CHHATTISGARH,Graduate
INC,3,490000,80000,MAHARASHTRA,Graduate
DMK,0,30000,2400,TAMILNADU,Post Graduate
IND,0,180000,3900,MANIPUR,Post Graduate
BJP,0,20000,0,WESTBENGAL,Graduate
BJP,0,80000,0,WESTBENGAL,Graduate Professional
INC,4,0,1400,MAHARASHTRA,10th Pass
JMM,0,30000,3700,JHARKHAND,12th Pass
BJP,2,50000,3600,ODISHA,Graduate
INC,6,3400,60000,MAHARASHTRA,Graduate Professional
SP,30,40000,0,UTTARPRADESH,Post Graduate
BJP,0,50000,500,MAHARASHTRA,Graduate Professional
BJP,22,290000,500,KERALA,Graduate
SHS,0,40000,10000,MAHARASHTRA,10th Pass
BJP,0,10000,2100,MANIPUR,Post Graduate
BJD,9,5100,1100,ODISHA,Graduate
INC,0,10000,1800,ODISHA,8th Pass
CPI,1,6100,100,KERALA,Graduate Professional
INC,0,4600,98,MAHARASHTRA,Graduate
BJP,0,20000,7200,GOA,Graduate
BJP,0,280000,0,UTTARAKHAND,8th Pass
BJD,19,300000,30000,ODISHA,Post Graduate
SHS,0,60000,40000,MAHARASHTRA,10th Pass
SHS,3,0,4600,MAHARASHTRA,10th Pass
INC,0,10000,3200,MANIPUR,Post Graduate
Tipra Motha Party,0,1800,300,TRIPURA,Post Graduate
SP,1,20000,7500,UTTARPRADESH,Graduate Professional
CPI(M),4,10000,1400,KERALA,Graduate
RJD,0,60000,5000,BIHAR,Doctorate
YSRCP,16,30000,0,ANDHRAPRADESH,Doctorate
BJP,0,60000,10000,MADHYAPRADESH,12th Pass
BJP,1,0,2900,GOA,Others
BJP,0,2100,0,UTTARAKHAND,8th Pass
INC,4,6400,1300,TAMILNADU,8th Pass
IND,0,0,20000,UTTARAKHAND,10th Pass
BJP,0,30000,4200,MADHYAPRADESH,Graduate
BJD,0,8600,9000,ODISHA,Post Graduate
BJD,0,140000,40000,ODISHA,10th Pass
BJP,0,110000,0,UTTARPRADESH,Graduate
NPP,0,30000,0,NAGALAND,Graduate
NCP,0,700000,40000,MAHARASHTRA,Post Graduate
BJP,2,60000,10000,KARNATAKA,Doctorate
BJD,0,100000,40000,ODISHA,Graduate
BJP,0,230000,140000,TAMILNADU,Graduate Professional
DMK,12,70000,20000,TAMILNADU,Graduate
AIADMK,0,30000,900,TAMILNADU,Graduate
INC,12,60000,20000,MAHARASHTRA,Graduate
BJP,173,660000,570000,MADHYAPRADESH,Post Graduate
INC,7,920000,280000,GOA,8th Pass
INC,1,30000,3900,HIMACHALPRADESH,10th Pass
BJP,0,50000,3700,GUJARAT,10th Pass
INC,0,20000,3200,RAJASTHAN,5th Pass
BJD,11,0,10000,PUNJAB,12th Pass
AAP,1,30000,0,PUNJAB,Post Graduate
RJD,9,5700,0,TAMILNADU,10th Pass
CPI(M),4,10000,0,KERALA,Graduate
BJP,0,9100,1600,BIHAR,Others
BJP,0,30000,0,RAJASTHAN,8th Pass
BJP,0,20000,3800,RAJASTHAN,Graduate Professional
BJP,5,60000,6000,UTTARPRADESH,Post Graduate
BJP,0,2400,0,TRIPURA,10th Pass
BJP,0,70000,100,BIHAR,Graduate Professional
BJP,0,4800,0,RAJASTHAN,12th Pass
IND,0,3500,5200,MEGHALAYA,Graduate
BJP,0,80000,10000,MAHARASHTRA,Post Graduate
BJP,1,8900,130000,KARNATAKA,Graduate
DMK,24,6700,1000,TAMILNADU,Post Graduate
BJP,0,20000,400,MADHYAPRADESH,12th Pass
BJP,13,170000,1800,KARNATAKA,Graduate Professional
BJP,8,20000,0,BIHAR,Graduate Professional
BJP,0,0,0,ARUNACHALPRADESH,12th Pass
BJP,0,0,3300,GUJARAT,Doctorate
INC,7,190000,0,KARNATAKA,10th Pass
DMK,29,7600,1300,TAMILNADU,Post Graduate
BJD,1,30000,1300,ODISHA,Post Graduate
INC,0,6610000,240000,RAJASTHAN,10th Pass
DMK,29,0,1700,TAMILNADU,10th Pass
CPI,25,50000,0,TAMILNADU,Graduate Professional
SHS,1,10000,0,MAHARASHTRA,12th Pass
RJD,0,60000,5200,BIHAR,12th Pass
INC,0,8100,240000,RAJASTHAN,Graduate Professional
AAP,0,530000,200,DELHI,Others
INC,1,9700,300,TRIPURA,Post Graduate
BJD,0,2000,0,ODISHA,10th Pass
NCP,1,0,0,MAHARASHTRA,10th Pass
BJP,0,40000,0,MAHARASHTRA,5th Pass
BJD,0,3700,74,ODISHA,12th Pass
AITC,0,10000,1200,WESTBENGAL,Graduate
INC,3,30000,4000,CHHATTISGARH,Post Graduate
BJP,8,130000,20000,MADHYAPRADESH,Graduate
CPI(M),0,9700,2300,TRIPURA,12th Pass
DMK,21,120000,1900,TAMILNADU,Post Graduate
BJP,0,110000,400,BIHAR,Graduate
BJP,0,290000,200000,GUJARAT,Graduate
INC,13,0,3400,KARNATAKA,10th Pass
BJD,6,2100,0,ODISHA,Graduate Professional
Sikkim Krantikari Morcha,0,0,200,SIKKIM,Graduate
IND,1,5700,0,MAHARASHTRA,10th Pass
INC,0,80000,10000,MADHYAPRADESH,Graduate Professional
IND,5,950000,8900,MAHARASHTRA,10th Pass
AITC,1,6400,80000,WESTBENGAL,Graduate
JD(U),3,0,8700,BIHAR,Graduate
INC,13,170000,20000,ASSAM,Graduate Professional
DMK,1,90000,20000,TAMILNADU,Post Graduate
BJP,0,50000,10000,UTTARPRADESH,Post Graduate
Sikkim Krantikari Morcha,0,1400,0,SIKKIM,Graduate
TDP,0,80000,10000,ANDHRAPRADESH,Post Graduate
YSRCP,5,1590000,470000,ANDHRAPRADESH,12th Pass
DMK,46,130000,10000,TAMILNADU,10th Pass
BJP,0,20000,0,GUJARAT,5th Pass
BJP,0,2500,300,MADHYAPRADESH,Graduate
INC,0,9500,0,WESTBENGAL,Post Graduate
SHS,0,200000,20000,MAHARASHTRA,12th Pass
AITC,2,8600,0,WESTBENGAL,Post Graduate
DMK,2,30000,2900,TAMILNADU,Graduate
INC,1,440000,9500,BIHAR,Graduate
BJP,0,9900,230000,MADHYAPRADESH,Graduate Professional
JD(S),5,150000,170000,PUNJAB,Graduate Professional
BJP,22,290000,100,GUJARAT,Graduate
BJP,0,1600,1400,TRIPURA,Graduate
AITC,8,30000,2500,WESTBENGAL,10th Pass
NCP,0,120000,0,MAHARASHTRA,Graduate
AITC,1,20000,1600,WESTBENGAL,Graduate
INC,1,40000,10000,KARNATAKA,Doctorate
AITC,1,80000,300,WESTBENGAL,12th Pass
BJP,0,6500,0,BIHAR,5th Pass
BJP,0,0,400,MAHARASHTRA,Literate
BJP,2,1480000,340000,RAJASTHAN,10th Pass
AAP,2,0,2800,DELHI,Post Graduate
BJD,0,2000,1100,ODISHA,12th Pass
NCP,0,440000,9500,MAHARASHTRA,Graduate Professional
BJP,2,10000,800,TRIPURA,Graduate
BJP,0,30000,1000,GUJARAT,5th Pass
YSRCP,1,680000,0,ANDHRAPRADESH,Post Graduate
BJP,0,100000,50000,UTTARPRADESH,12th Pass
IND,1,0,8100,MAHARASHTRA,10th Pass
INC,18,70000,300,KERALA,Graduate
INC,8,50000,20000,TAMILNADU,Post Graduate
BJP,0,0,1500,GUJARAT,Literate
AAP,1,10000,2800,DELHI,Post Graduate
RJD,4,2200,0,BIHAR,10th Pass
SP,30,8500,0,UTTARPRADESH,Post Graduate
INC,0,2960000,140000,KARNATAKA,10th Pass
TDP,1,140000,30000,ANDHRAPRADESH,Graduate Professional
INC,1,1700,20000,PUNJAB,Graduate
RJD,5,60000,6100,BIHAR,Graduate Professional
BJP,0,40000,1500,UTTARPRADESH,Graduate Professional
IND,1,20000,1000,HARYANA,12th Pass
INC,0,20000,1800,CHHATTISGARH,Graduate
BJP,27,80000,10000,MAHARASHTRA,Graduate
BJP,0,6000,6200,MADHYAPRADESH,Graduate
BJP,1,30000,0,MADHYAPRADESH,Post Graduate
INC,7,190000,0,WESTBENGAL,Graduate
BJP,2,3630000,340000,MAHARASHTRA,Others
Tipra Motha Party,0,1300,0,TRIPURA,Post Graduate
YSRCP,0,50000,270000,MEGHALAYA,Graduate
SP,87,0,0,UTTARPRADESH,Graduate Professional
BJP,0,40000,10000,RAJASTHAN,12th Pass
INC,0,100000,10000,HARYANA,Graduate
BJP,0,30000,1100,UTTARAKHAND,Graduate Professional
BJP,0,7700,10000,MEGHALAYA,Graduate
RJD,6,50000,2000,BIHAR,Graduate
AAP,0,240000,60000,DELHI,Post Graduate
INC,0,300000,0,KARNATAKA,10th Pass
SHS,9,8200,100,MAHARASHTRA,10th Pass
RJD,5,30000,1600,BIHAR,Doctorate
BJP,1,9700,210000,MADHYAPRADESH,Graduate
BJP,0,510000,230000,KARNATAKA,Graduate Professional
BJP,5,20000,100,MADHYAPRADESH,Graduate
INC,1,20000,1900,KARNATAKA,Graduate
AAP,0,30000,900,GUJARAT,Others
BJP,173,660000,570000,MADHYAPRADESH,Post Graduate
YSRCP,0,390000,80,ANDHRAPRADESH,Post Graduate
BJP,1,30000,1200,GUJARAT,Graduate Professional
BJP,0,2100,0,RAJASTHAN,8th Pass
INC,0,20000,3000,KARNATAKA,Graduate
AAP,0,20000,0,PUNJAB,Post Graduate
DMK,9,0,4000,TAMILNADU,10th Pass
BJP,0,120000,2700,UTTARPRADESH,Graduate
AAP,0,1800,0,PUNJAB,Post Graduate
SP,0,60000,10000,UTTARPRADESH,12th Pass
DMK,6,100000,40000,UTTARPRADESH,Graduate Professional
DMK,17,2300,0,TAMILNADU,Graduate
DMK,1,50000,0,TAMILNADU,Graduate Professional
BJP,0,80000,10000,GOA,Graduate
JD(U),1,5300,5200,BIHAR,Graduate Professional
NPP,0,8900,0,MEGHALAYA,12th Pass
DMK,9,260000,70000,TAMILNADU,10th Pass
YSRCP,16,9000,0,ANDHRAPRADESH,8th Pass
INC,9,6400,1100,GUJARAT,Graduate
BJP,0,20000,5700,RAJASTHAN,Graduate
AITC,1,8400,1300,WESTBENGAL,Graduate
INC,1,80000,6000,MAHARASHTRA,Post Graduate
IND,0,0,10000,GOA,10th Pass
BJP,0,840000,56,GUJARAT,10th Pass
INC,0,20000,10000,HARYANA,Graduate
Sikkim Krantikari Morcha,0,6200,200,SIKKIM,Graduate
INC,0,20000,4600,CHHATTISGARH,Post Graduate
BJD,0,9000,1300,ODISHA,Post Graduate
BJP,173,660000,570000,MADHYAPRADESH,Post Graduate
BJP,0,70000,20000,RAJASTHAN,Graduate Professional
BJP,0,40000,900,RAJASTHAN,Others
BJP,8,40000,30000,JHARKHAND,8th Pass
INC,0,14130000,350000,KARNATAKA,Graduate
BJD,0,30000,1100,ODISHA,Graduate Professional
IND,2,9600,74,GUJARAT,10th Pass
BJD,3,30000,1100,ODISHA,10th Pass
AAP,2,1300000,120000,DELHI,Others
AITC,0,5700,0,WESTBENGAL,10th Pass
IND,0,540000,400,UTTARAKHAND,10th Pass
NCP,4,4900,20000,MAHARASHTRA,Graduate Professional
INC,1,220000,0,RAJASTHAN,Post Graduate
SHS,6,320000,20000,MAHARASHTRA,Graduate Professional
DMK,4,90000,6200,TAMILNADU,Graduate Professional
SP,0,170000,4100,UTTARPRADESH,Graduate
BJP,0,40000,0,RAJASTHAN,Graduate
BJP,0,90000,3200,RAJASTHAN,Graduate
JMM,0,20000,600,JHARKHAND,Graduate
BJP,2,220000,0,WESTBENGAL,Others
NDPP,0,80000,0,NAGALAND,Graduate
BJP,1,0,900,RAJASTHAN,Others
BJP,10,60000,20000,UTTARPRADESH,12th Pass
BJP,0,20000,3000,GUJARAT,Graduate
BJP,0,5200,800,RAJASTHAN,Post Graduate
AIADMK,0,0,200,TAMILNADU,Graduate
IND,0,20000,0,ARUNACHALPRADESH,10th Pass
DMK,99,1210000,90000,TAMILNADU,Post Graduate
IND,6,0,50,WESTBENGAL,10th Pass
BJP,0,0,0,RAJASTHAN,12th Pass
BJP,1,6000,0,WESTBENGAL,Graduate
AITC,0,80000,400,WESTBENGAL,Graduate
AAP,1,6800,0,PUNJAB,Post Graduate
INC,1,720000,240000,RAJASTHAN,Graduate
BJP,0,1900,0,UTTARAKHAND,8th Pass
BJD,5,4000,0,ODISHA,12th Pass
BJD,3,30000,1100,ODISHA,12th Pass
CPI(M),4,4100,1100,KERALA,Graduate Professional
RJD,2,60000,4200,BIHAR,Graduate
DMK,15,150000,6500,ANDHRAPRADESH,Post Graduate
INC,2,240000,60000,HIMACHALPRADESH,Post Graduate
SP,0,0,0,UTTARPRADESH,12th Pass
BJP,0,9600,4100,MAHARASHTRA,10th Pass
BJP,173,660000,570000,MADHYAPRADESH,Post Graduate
INC,1,3800,760000,KARNATAKA,Others
BJD,0,130000,40000,ODISHA,Graduate
BJP,1,660000,2830000,RAJASTHAN,Post Graduate
SP,6,30000,8700,UTTARPRADESH,Graduate Professional
BJD,3,110000,40000,ODISHA,Graduate
CPI(M),0,3700,0,TRIPURA,12th Pass
TDP,5,1830000,700000,MAHARASHTRA,Others
DMK,9,130000,40000,TAMILNADU,Graduate Professional
BJP,22,7200,100,GUJARAT,8th Pass
YSRCP,6,1590000,24,ANDHRAPRADESH,Graduate Professional
INC,0,2450000,5800,HARYANA,Graduate
INC,0,20000,1600,HARYANA,Graduate
DMK,12,270000,100000,TAMILNADU,Graduate
BJP,3,210000,100000,UTTARPRADESH,Doctorate
NPP,0,20000,0,MEGHALAYA,12th Pass
BJP,0,10000,2700,CHHATTISGARH,12th Pass
INC,1,30000,700,RAJASTHAN,Post Graduate
BJP,2,100000,5000,MAHARASHTRA,Graduate
BJP,0,6000,400,UTTARPRADESH,Graduate
SHS,1,1200,20000,MAHARASHTRA,10th Pass
BJP,0,6500,0,ASSAM,Graduate
BJD,0,350000,120000,ODISHA,Graduate
BJP,0,20000,0,ARUNACHALPRADESH,Graduate Professional
INC,0,20000,900,PUNJAB,Others
DMK,9,130000,7400,TAMILNADU,Doctorate
INC,1,110000,30000,GOA,Graduate
INC,0,10000,0,GUJARAT,8th Pass
YSRCP,0,250000,70000,ANDHRAPRADESH,12th Pass
IND,0,1100,0,UTTARAKHAND,10th Pass
INC,6,60000,20000,KARNATAKA,Graduate Professional
BJP,8,30000,5400,PUDUCHERRY,Graduate Professional
INC,0,30000,1100,CHHATTISGARH,12th Pass
IND,1,4000,0,BIHAR,Graduate
TDP,0,270000,150000,ANDHRAPRADESH,Post Graduate
JD(S),5,70000,20000,KARNATAKA,Graduate Professional
SHS,0,0,3900,MAHARASHTRA,10th Pass
DMK,23,0,900,TAMILNADU,Graduate Professional
INC,0,100000,20000,KARNATAKA,Graduate Professional
IND,0,0,3000,GOA,Graduate
BJP,0,7800,800,JHARKHAND,10th Pass
BJP,0,150000,10000,HARYANA,Graduate Professional
RJD,0,100000,1200,BIHAR,Graduate
BJP,0,10000,400,MANIPUR,Graduate
SHS,0,10000,1200,MAHARASHTRA,10th Pass
INC,9,340000,400,GUJARAT,10th Pass
BJP,0,8300,2400,RAJASTHAN,Post Graduate
AAP,1,0,2800,DELHI,Post Graduate
INC,0,20000,0,RAJASTHAN,Post Graduate
JD(U),1,30000,0,BIHAR,Post Graduate
AAP,0,2600,900,PUNJAB,Others
AITC,4,8400,0,WESTBENGAL,Graduate Professional
IND,0,500,0,MEGHALAYA,12th Pass
YSRCP,0,490000,80000,ANDHRAPRADESH,Doctorate
INC,0,450000,3300,RAJASTHAN,10th Pass
INC,2,70,8810000,MAHARASHTRA,Graduate
BJP,0,7900,6200,GUJARAT,Graduate Professional
INC,0,10000,900,RAJASTHAN,Graduate
JD(U),1,20000,4600,MANIPUR,Graduate
BJP,1,260000,7400,WESTBENGAL,10th Pass
INC,0,70000,20000,JHARKHAND,Doctorate
NCP,3,10000,1900,MAHARASHTRA,12th Pass
BJD,29,2300,800,ODISHA,12th Pass
AITC,0,0,300,WESTBENGAL,10th Pass
SP,0,110000,30000,UTTARPRADESH,Graduate
BJP,0,10000,2800,GUJARAT,Graduate Professional
BJP,11,30000,10000,UTTARPRADESH,12th Pass
INC,0,10000,400,MADHYAPRADESH,Graduate
RJD,1,2200,0,BIHAR,Graduate
Sikkim Krantikari Morcha,0,0,200,SIKKIM,Graduate
CPI(M),1,20000,500,TRIPURA,Graduate
Tipra Motha Party,0,9700,2200,TRIPURA,12th Pass
AITC,0,300,0,WESTBENGAL,Graduate
TDP,1,0,6300,ANDHRAPRADESH,Graduate Professional
DMK,12,370000,1700,TAMILNADU,Graduate Professional
BJP,0,30000,10000,TAMILNADU,Post Graduate
INC,0,640000,800,KARNATAKA,Graduate
CPI(M),7,5600,0,KERALA,10th Pass
INC,0,0,200,CHHATTISGARH,Graduate
RJD,2,60000,0,BIHAR,12th Pass
DMK,18,4200,30000,GOA,Graduate
CPI(M),2,100000,5500,TRIPURA,12th Pass
BJD,0,3600,1100,ODISHA,12th Pass
YSRCP,1,0,5200,ANDHRAPRADESH,Post Graduate
INC,0,20000,1500,UTTARAKHAND,Graduate
AAP,0,70000,1400,DELHI,Post Graduate
BJP,0,30000,0,UTTARPRADESH,Graduate Professional
JD(U),7,70000,10000,BIHAR,Graduate Professional
NPP,0,30000,1900,MEGHALAYA,12th Pass
INC,5,30000,230000,KARNATAKA,Graduate Professional
BJP,5,60000,30000,WESTBENGAL,Graduate Professional
INC,6,330000,8700,MAHARASHTRA,10th Pass
NCP,0,250000,40000,MAHARASHTRA,10th Pass
