Party,Criminal Case,Total Assets,Liabilities,state,Education,isDoctor,isAdvocate,isSC,isST
DMK,21,1210000,7400,TAMILNADU,Graduate,-0.00021109541880970036,0.00021693237323127957,-0.00023417488126651581,-0.0002817453258240823
IND,0,1750000,20000,UTTARAKHAND,Graduate,0.00040169415206402556,-0.0005172577380308889,-4.8768423404279497e-05,-1.2014094291028667e-05
BJP,1,0,40000,UTTARPRADESH,Graduate,0.0007041364380943094,-0.000677765967755313,-2.8838049613607135e-05,4.720793061808001e-05
BJP,1,120000,9800,PUNJAB,Post Graduate,0.000521677353484845,-4.460264569574895e-05,8.87763409126739e-05,-1.6045052339174657e-05
BJP,0,0,1200,MADHYAPRADESH,8th Pass,-0.0003016669340772504,-0.0002089804431031602,-1.8906468442313922e-05,-0.0003659063552623637
YSRCP,0,0,500,ANDHRAPRADESH,Post Graduate,-0.0008472873474799255,-0.0005287672911170718,-8.833543440905984e-05,5.747956481248822e-05
BJP,0,40000,1000,GUJARAT,5th Pass,0.0010053724650470042,-0.00027956315864560585,-0.0002399957200046793,-1.5550212079147136e-05
YSRCP,1,0,8100,ANDHRAPRADESH,Graduate,0.0014798954375131817,-0.000929577412794711,-0.00021637037372053414,0.0003801579454166489
NCP,2,70000,10000,MAHARASHTRA,Graduate Professional,-0.0016101314192496234,0.00011141610053036987,-0.00020563328484034813,7.660056172538609e-05
SHS,5,7700,2500,MAHARASHTRA,10th Pass,0.0003245711785713435,8.23646460889313e-06,-1.0461739234664339e-05,0.000327298082598391
INC,9,460000,2650000,HIMACHALPRADESH,12th Pass,0.00035742729119713987,-0.0001570355577287883,-0.00016652563243909406,0.00018189709934292599
BJP,0,190000,5300,GUJARAT,12th Pass,-0.00047723431444510964,-0.0004300300742238863,-0.000144670540774419,8.994042077543112e-05
JD(U),2,30000,5300,BIHAR,Doctorate,0.9995783636556687,-0.00033200812100847034,7.422807227285748e-05,-5.047146471369594e-05
RJD,1,40000,8400,BIHAR,Graduate,0.0004390067809607111,-0.0003382545545990099,0.0003528496121251192,4.590646360657168e-05
CPI,0,0,3000,KARNATAKA,Graduate,0.0010607697033539608,-0.00022062248368038827,0.0002112531353370459,8.877415868652887e-05
YSRCP,1,0,50000,ANDHRAPRADESH,Post Graduate,0.00019631068334190064,-0.0008945496329329552,1.8519297162807275e-06,0.000256879983530094
YSRCP,0,0,6500,ANDHRAPRADESH,Post Graduate,-0.0003428891724549277,-0.0003641981369537516,-0.0001353697886741613,0.00025484343773796533
INC,19,7100,20000,KARNATAKA,Graduate,0.0003741969709880246,-0.0005440837827145196,0.00021756408866121295,2.510640008036935e-07
AIADMK,0,190000,10000,TAMILNADU,Graduate,-0.0014555220725108516,-2.162594630329273e-05,-0.00031709324835720693,3.772509669638777e-05
INC,0,1300,1000,MANIPUR,Graduate,0.0009555929234916423,-0.00021880589546453111,-0.00038101239494655004,-6.246637608248993e-05
BJP,1,220000,1200,BIHAR,Literate,-0.0006125910241652712,-0.0003682469096737238,-6.073475356887039e-05,-0.00039225656466242685
NCP,0,110000,40000,MAHARASHTRA,Graduate Professional,-0.00018954254849728056,4.151547991130095e-05,-0.000130964968924378,0.00020792962726179598
JMM,0,5800,7000,JHARKHAND,10th Pass,0.00102485597676805,6.833650826034504e-05,-0.00020420762830715002,0.0003438720380347066
INC,10,20000,3400,KERALA,12th Pass,0.0004273561422978094,0.9186081737428581,-0.0001599562231023522,-0.00013027443213508967
NDPP,0,0,0,NAGALAND,Post Graduate,-0.0010762872621945289,-0.00018186090065274292,-0.00023779698937796389,0.00024177471842447106
BJP,0,2400,5000,ASSAM,Post Graduate,0.0020637309352505547,0.8653930729253784,-2.609722943449562e-05,2.7957677769379242e-05
JD(U),1,60000,0,BIHAR,Post Graduate,-0.001961372922890034,-8.96690440098286e-05,8.410915501814469e-05,-0.0002957814937632873
CPI(M),12,10000,100,KERALA,10th Pass,-0.0017062369798502305,-0.00014445161829006436,-0.00037678426848367595,-0.00036125760284806967
YSRCP,38,80000,10000,ANDHRAPRADESH,Graduate,-0.0005104267796661835,-7.674352500289705e-05,-0.0003618036211523139,5.9952879816000387e-05
BJP,0,30000,2200,MADHYAPRADESH,12th Pass,-0.0006625941716248185,0.00013016970019964205,-0.00010188851110442764,-0.0003692630510499078
BJP,0,340000,10000,RAJASTHAN,Post Graduate,0.0003181254211262589,-0.00031984792588558516,-0.00024142790087270006,4.643021277711759e-05
INC,0,40000,5300,BIHAR,Doctorate,0.9942732844023048,-0.0006133232644995597,7.913826729591789e-05,0.0002963960622703941
BJD,0,6000,2700,ODISHA,12th Pass,0.0009867645824809257,-0.0006985577088552976,0.00023464594419900762,0.00018401123705307103
BJP,3,1020000,0,UTTARPRADESH,10th Pass,-0.0008413883763474194,-0.000977624559313637,0.0001597301802235082,-9.45608861764187e-05
CPI(M),13,5200,1800,ODISHA,12th Pass,0.000378881932335415,0.8396404143526759,8.880106784373689e-05,2.9382099817991896e-05
INC,1,80000,1400,JHARKHAND,Graduate Professional,0.0002772157611528969,-0.00043245831771156483,-0.0002535579948204877,0.00024866309027618403
INC,1,3100,2400,KARNATAKA,Graduate,0.00029249168282379596,-0.00025091754407434495,5.777793303370766e-06,0.0005244585057611023
