Party,Criminal Case,Total Assets,Liabilities,state,Education,isDoctor,isAdvocate,isSC,isST
BJP,0,70000,200,MADHYAPRADESH,10th Pass,0.0,0.0,0.0,0.0
BJP,0,400000,1400,MADHYAPRADESH,10th Pass,1.0,0.0,0.0,0.0
IND,1,14130000,1900,KARNATAKA,Graduate Professional,0.0,0.0,0.0,0.0
BJP,4,170000,20000,KERALA,Graduate Professional,0.0,1.0,0.0,0.0
CPI(M),1,40000,0,KERALA,Post Graduate,0.0,1.0,0.0,0.0
BJD,1,20000,0,KARNATAKA,Graduate Professional,0.0,0.0,0.0,0.0
BJP,1,0,2100,ASSAM,Post Graduate,0.0,0.0,0.0,0.0
NCP,38,14130000,8800,TAMILNADU,Graduate,0.0,0.0,0.0,0.0
BJP,3,90000,94,ASSAM,Doctorate,1.0,0.0,0.0,0.0
BJP,3,4390000,2700,UTTARPRADESH,Graduate,0.0,0.0,0.0,0.0
CPI,5,40000,1700,CHHATTISGARH,12th Pass,0.0,0.0,0.0,0.0
YSRCP,6,110000,100,MADHYAPRADESH,12th Pass,0.0,0.0,0.0,0.0
BJP,0,30000,0,WESTBENGAL,Others,0.0,0.0,0.0,0.0
BJP,1,20000,0,TRIPURA,10th Pass,0.0,0.0,0.0,0.0
BJD,10,14130000,6800,JHARKHAND,Graduate Professional,0.0,0.0,0.0,0.0
BJP,2,0,2900,ODISHA,Graduate Professional,1.0,0.0,0.0,0.0
BJP,0,10000,900,MANIPUR,Post Graduate,0.0,0.0,0.0,0.0
INC,0,460000,1200,MANIPUR,Graduate Professional,1.0,0.0,0.0,0.0
BJP,1,70000,0,UTTARPRADESH,Graduate Professional,0.0,0.0,0.0,0.0
INC,2,40000,10000,KARNATAKA,Graduate Professional,0.0,0.0,0.0,0.0
INC,1,120000,0,ARUNACHALPRADESH,12th Pass,0.0,0.0,0.0,0.0
AAP,3,0,3000,PUNJAB,Graduate Professional,0.0,0.0,0.0,0.0
BJP,1,50000,20000,BIHAR,10th Pass,0.0,0.0,0.0,0.0
INC,1,0,3000,ANDHRAPRADESH,12th Pass,0.0,0.0,0.0,0.0
BJP,1,2500,40000,MAHARASHTRA,Post Graduate,0.0,0.0,0.0,0.0
SHS,6,40000,200,TAMILNADU,12th Pass,0.0,0.0,0.0,0.0
AAP,1,20000,9500,ANDHRAPRADESH,Post Graduate,0.0,0.0,0.0,0.0
BJP,1,10000,40000,JHARKHAND,Doctorate,0.0,0.0,0.0,0.0
BJD,1,2420000,82,PUNJAB,10th Pass,0.0,0.0,0.0,0.0
IND,0,8800,3900,KARNATAKA,12th Pass,0.0,0.0,0.0,0.0
BJP,1,30000,2400,ANDHRAPRADESH,10th Pass,0.0,0.0,0.0,0.0
BJP,0,0,3100,RAJASTHAN,Graduate Professional,0.0,0.0,0.0,0.0
NDPP,0,3100,1100,BIHAR,Graduate Professional,0.0,0.0,0.0,0.0
BJP,5,30000,0,MADHYAPRADESH,Graduate Professional,0.0,0.0,0.0,0.0
CPI(M),1,20000,10000,KERALA,Graduate Professional,0.0,1.0,0.0,0.0
NDPP,1,80000,900,UTTARPRADESH,Post Graduate,0.0,0.0,0.0,0.0
AAP,0,40000,10000,KARNATAKA,10th Pass,0.0,0.0,0.0,0.0
INC,1,420000,3200,ARUNACHALPRADESH,10th Pass,0.0,0.0,0.0,0.0
BJP,0,20000,5700,MADHYAPRADESH,10th Pass,0.0,0.0,0.0,0.0
YSRCP,9,280000,140000,TAMILNADU,8th Pass,0.0,0.0,0.0,0.0
INC,4,90000,80000,RAJASTHAN,Graduate Professional,0.0,0.0,0.0,0.0
IND,1,500000,130000,TAMILNADU,Graduate Professional,0.0,0.0,0.0,0.0
INC,4,10000,2000,MANIPUR,Doctorate,0.0,0.0,0.0,0.0
BJD,0,80000,82,PUNJAB,10th Pass,0.0,0.0,0.0,0.0
BJP,8,270000,3000,MAHARASHTRA,10th Pass,0.0,0.0,0.0,0.0
JD(U),0,120000,2500,KERALA,Graduate,0.0,0.0,0.0,0.0
BJP,0,40000,1200,BIHAR,Doctorate,1.0,0.0,0.0,0.0
BJP,1,20000,2400,RAJASTHAN,10th Pass,0.0,0.0,0.0,0.0
INC,0,0,0,MADHYAPRADESH,10th Pass,0.0,0.0,0.0,0.0
BJP,8,4200,7900,ANDHRAPRADESH,Graduate,0.0,0.0,0.0,0.0
BJP,0,90000,400,ASSAM,12th Pass,0.0,0.0,0.0,0.0
IND,1,80000,100,WESTBENGAL,Post Graduate,0.0,0.0,0.0,0.0
INC,1,30000,220000,HIMACHALPRADESH,Post Graduate,0.0,0.0,0.0,0.0
BJP,2,50000,20000,KARNATAKA,Doctorate,1.0,0.0,0.0,0.0
INC,1,200000,180000,BIHAR,10th Pass,0.0,0.0,0.0,0.0
SP,0,40000,500,RAJASTHAN,Post Graduate,0.0,0.0,0.0,0.0
BJP,1,60000,1400,DELHI,Post Graduate,0.0,0.0,0.0,0.0
BJP,0,20000,2500,TRIPURA,10th Pass,0.0,0.0,0.0,0.0
BJP,5,20000,0,ASSAM,10th Pass,0.0,0.0,0.0,0.0
BJP,1,70000,10000,UTTARPRADESH,Graduate Professional,0.0,0.0,0.0,0.0
JD(S),0,80000,4000,ANDHRAPRADESH,10th Pass,0.0,0.0,0.0,0.0
IND,21,5200,1200,MAHARASHTRA,Post Graduate,0.0,0.0,0.0,0.0
BJP,0,90000,800,MADHYAPRADESH,Graduate,0.0,0.0,0.0,0.0
BJP,0,30000,10000,HARYANA,10th Pass,1.0,0.0,0.0,0.0
BJP,1,10000,1000,UTTARAKHAND,Graduate Professional,0.0,0.0,0.0,0.0
AITC,1,950000,97,BIHAR,Graduate Professional,1.0,0.0,0.0,0.0
AAP,1,1600,1400,RAJASTHAN,Graduate Professional,0.0,0.0,0.0,0.0
BJP,1,90000,1900,DELHI,12th Pass,0.0,0.0,0.0,0.0
IND,0,130000,8400,ARUNACHALPRADESH,Graduate Professional,0.0,0.0,0.0,0.0
DMK,2,160000,2400,MADHYAPRADESH,8th Pass,0.0,0.0,0.0,0.0
SP,1,1900,600,GUJARAT,Graduate,0.0,0.0,0.0,0.0
BJD,10,390000,20000,KARNATAKA,Graduate Professional,0.0,0.0,0.0,0.0
INC,4,80000,4700,MAHARASHTRA,8th Pass,0.0,0.0,0.0,0.0
AAP,12,1300,1100,TAMILNADU,12th Pass,0.0,0.0,0.0,0.0
BJP,0,10000,2500,MAHARASHTRA,Graduate Professional,0.0,0.0,0.0,0.0
BJP,1,20000,0,TAMILNADU,10th Pass,0.0,0.0,0.0,0.0
BJP,1,4350000,20000,HARYANA,10th Pass,0.0,0.0,0.0,0.0
INC,1,0,0,BIHAR,Graduate,0.0,0.0,0.0,0.0
AAP,0,90000,500,ANDHRAPRADESH,10th Pass,0.0,0.0,0.0,0.0
DMK,1,5700,9300,HIMACHALPRADESH,10th Pass,0.0,0.0,0.0,0.0
YSRCP,15,170000,40000,KERALA,Post Graduate,0.0,0.0,0.0,0.0
NDPP,0,1200,20000,HARYANA,10th Pass,0.0,0.0,0.0,0.0
BJP,0,1430000,3000,RAJASTHAN,Graduate Professional,0.0,0.0,0.0,0.0
BJP,0,20000,400,MADHYAPRADESH,Graduate,0.0,0.0,0.0,0.0
AITC,1,160000,6900,ANDHRAPRADESH,Graduate,0.0,0.0,0.0,0.0
INC,2,110000,10000,MAHARASHTRA,Graduate Professional,0.0,0.0,0.0,0.0
BJP,0,90000,2900,KARNATAKA,Graduate,0.0,0.0,0.0,0.0
DMK,0,50000,0,RAJASTHAN,Graduate Professional,0.0,0.0,0.0,0.0
BJP,0,80000,2900,UTTARPRADESH,Graduate,0.0,0.0,0.0,0.0
AAP,0,100000,10000,BIHAR,Graduate Professional,0.0,0.0,0.0,0.0
INC,1,910000,5800,KARNATAKA,Graduate Professional,0.0,0.0,0.0,0.0
AITC,0,400000,7900,TAMILNADU,10th Pass,1.0,0.0,0.0,0.0
BJP,1,260000,110000,ASSAM,Graduate,0.0,0.0,0.0,0.0
BJP,29,3000,10000,RAJASTHAN,Post Graduate,0.0,0.0,0.0,0.0
JD(S),1,4400,1100,BIHAR,12th Pass,0.0,0.0,0.0,0.0
BJP,6,0,6500,ANDHRAPRADESH,Graduate Professional,0.0,0.0,0.0,0.0
DMK,0,40000,400,RAJASTHAN,Graduate Professional,0.0,0.0,0.0,0.0
INC,1,4000,0,BIHAR,Post Graduate,0.0,0.0,0.0,0.0
NDPP,0,340000,1000,GUJARAT,12th Pass,0.0,0.0,0.0,0.0
INC,0,50000,100,TAMILNADU,12th Pass,0.0,0.0,0.0,0.0
CPI(M),0,90000,10000,ANDHRAPRADESH,12th Pass,0.0,0.0,0.0,0.0
BJP,0,120000,1200,ODISHA,12th Pass,1.0,0.0,0.0,0.0
INC,1,100000,1600,NAGALAND,10th Pass,0.0,0.0,0.0,0.0
Sikkim Krantikari Morcha,0,210000,100,TRIPURA,10th Pass,0.0,0.0,0.0,0.0
AAP,0,180000,6500,MAHARASHTRA,Graduate,0.0,0.0,0.0,0.0
NDPP,1,30000,30000,MADHYAPRADESH,Graduate Professional,0.0,0.0,0.0,0.0
BJP,1,30000,1000,KARNATAKA,10th Pass,0.0,0.0,0.0,0.0
DMK,1,30000,1000,MAHARASHTRA,10th Pass,1.0,0.0,0.0,0.0
SP,1,40000,1600,BIHAR,12th Pass,0.0,0.0,0.0,0.0
INC,0,20000,5300,TAMILNADU,Graduate Professional,0.0,0.0,0.0,0.0
BJP,0,140000,300,HARYANA,12th Pass,0.0,0.0,0.0,0.0
BJP,0,20000,500,KARNATAKA,Graduate,0.0,0.0,0.0,0.0
AAP,1,4300,4900,MAHARASHTRA,10th Pass,0.0,0.0,0.0,0.0
JMM,1,250000,2500,BIHAR,10th Pass,0.0,0.0,0.0,0.0
