Party,Criminal Case,Total Assets,Liabilities,state,Education
SP,4,1430000,10000,UTTARPRADESH,Post Graduate
BJP,1,10000,600,CHHATTISGARH,Post Graduate
BJP,0,10000,400,RAJASTHAN,Graduate
BJP,2,400,2100,JHARKHAND,Graduate
NPP,0,10000,1600,MEGHALAYA,Post Graduate
SP,8,70000,0,UTTARPRADESH,Post Graduate
BJP,1,200000,10000,MAHARASHTRA,12th Pass
INC,10,10000,900,KERALA,Graduate
BJP,0,10000,2600,HIMACHALPRADESH,Graduate
AITC,0,5200,90000,MEGHALAYA,Graduate
SHS,4,40000,1300,MAHARASHTRA,Graduate
RJD,2,1480000,5800,KARNATAKA,Graduate Professional
INC,0,20000,7000,RAJASTHAN,Graduate Professional
AITC,6,10000,0,WESTBENGAL,Graduate
INC,10,150000,0,PUNJAB,Graduate Professional
CPI(M),5,3900,0,KERALA,Graduate Professional
BJP,0,400,0,WESTBENGAL,Post Graduate
DMK,9,10000,2300,TAMILNADU,10th Pass
INC,3,20000,1800,ODISHA,8th Pass
INC,2,20000,5100,MADHYAPRADESH,12th Pass
BJP,0,10000,800,JHARKHAND,8th Pass
CPI(M),23,30000,1900,KERALA,12th Pass
IND,1,150000,50000,MANIPUR,Post Graduate
JD(S),5,1890000,30000,KARNATAKA,Graduate
INC,1,70000,800,HARYANA,Graduate
BJP,0,150000,4700,MAHARASHTRA,Graduate
BJP,1,210000,50000,BIHAR,Others
BJP,0,40000,0,UTTARPRADESH,Post Graduate
SHS,5,70000,1170000,MAHARASHTRA,Graduate
INC,1,10000,400,RAJASTHAN,Graduate Professional
BJP,0,30000,800,UTTARPRADESH,Post Graduate
AAP,7,4700,6800,PUNJAB,Graduate Professional
BJP,0,130000,70000,WESTBENGAL,Graduate Professional
DMK,47,80000,10000,TAMILNADU,Graduate
BJP,0,10000,40000,ASSAM,Post Graduate
YSRCP,0,580000,10000,ANDHRAPRADESH,Others
CPI(M),0,10000,0,KERALA,Graduate Professional
BJP,3,5200,1600,MAHARASHTRA,8th Pass
INC,14,400000,100,KARNATAKA,Graduate
AAP,0,20000,2300,PUNJAB,Post Graduate
INC,0,70000,1600,NAGALAND,Graduate
RJD,1,20000,10000,BIHAR,12th Pass
BJP,1,20000,2200,MAHARASHTRA,12th Pass
YSRCP,0,4100,5900,WESTBENGAL,Graduate
BJP,0,0,2300,UTTARPRADESH,Post Graduate
BJP,0,7000,1300,MAHARASHTRA,10th Pass
DMK,3,80000,10000,GUJARAT,Graduate
BJP,2,90000,4600,UTTARPRADESH,Graduate
BJP,5,10000,1600,WESTBENGAL,Graduate
INC,3,90000,10000,KARNATAKA,12th Pass
BJP,2,70000,500,MAHARASHTRA,Graduate
Tipra Motha Party,0,9800,300,TRIPURA,Post Graduate
INC,0,50000,10000,ODISHA,12th Pass
INC,3,100000,30000,GOA,Graduate
DMK,29,2300,600,TAMILNADU,Post Graduate
BJP,2,100000,5500,UTTARPRADESH,Post Graduate
AITC,0,260000,120000,WESTBENGAL,10th Pass
AAP,0,7700,2300,PUNJAB,Post Graduate
NPP,0,140000,1600,MEGHALAYA,Graduate
IND,1,80000,0,RAJASTHAN,Post Graduate
INC,1,290000,280000,BIHAR,Graduate
INC,6,170000,7200,KARNATAKA,Graduate Professional
BJP,0,40000,110000,GOA,Graduate
CPI(M),1,1400,300,KERALA,Graduate
BJP,0,60000,1400,UTTARPRADESH,Graduate
INC,0,100000,500,HIMACHALPRADESH,Post Graduate
AIADMK,0,460000,20000,TAMILNADU,Graduate
BJP,6,3400,0,WESTBENGAL,Post Graduate
INC,1,30000,20000,KARNATAKA,Graduate
RJD,0,9500,0,BIHAR,Graduate
AITC,0,1600,0,WESTBENGAL,12th Pass
YSRCP,0,0,400,ANDHRAPRADESH,12th Pass
BJP,0,170000,30000,KARNATAKA,Graduate
BJP,0,10000,4100,RAJASTHAN,Post Graduate
BJP,8,20000,2000,UTTARPRADESH,10th Pass
BJP,1,250000,1300,MAHARASHTRA,Others
Tipra Motha Party,0,1800,300,TRIPURA,Post Graduate
BJP,0,7100,400,WESTBENGAL,Literate
IND,0,390000,3200,UTTARAKHAND,10th Pass
DMK,7,0,30000,TAMILNADU,Graduate Professional
TDP,0,250000,40000,ANDHRAPRADESH,10th Pass
BJP,0,30000,100,UTTARAKHAND,12th Pass
NCP,0,100000,5500,MAHARASHTRA,Graduate
CPI(M),1,10000,100,KERALA,10th Pass
BJP,0,10000,8800,HIMACHALPRADESH,Post Graduate
CPI(M),5,3900,3400,KERALA,Graduate Professional
DMK,3,5200,90000,TAMILNADU,Graduate
CPI(M),10,4900,300,KERALA,Graduate Professional
NPP,1,10000,0,MANIPUR,Graduate
INC,0,1700,1600,KERALA,Post Graduate
AAP,1,5800,0,DELHI,Post Graduate
BJP,1,20000,0,RAJASTHAN,Post Graduate
RJD,0,60000,7500,BIHAR,Graduate
YSRCP,4,0,70000,ANDHRAPRADESH,10th Pass
BJP,0,130000,4500,UTTARPRADESH,Post Graduate
INC,2,1000,3100,KERALA,Graduate Professional
AAP,0,230000,3900,DELHI,Graduate Professional
BJP,2,60000,1700,HARYANA,Graduate
SP,30,40000,0,UTTARPRADESH,Graduate
BJP,7,110000,140000,UTTARPRADESH,Graduate Professional
SP,0,50000,3500,UTTARPRADESH,Graduate
BJD,0,60000,14,TAMILNADU,Graduate
INC,0,10000,800,CHHATTISGARH,Post Graduate
YSRCP,8,6900,2700,TRIPURA,8th Pass
INC,0,50000,1300,HIMACHALPRADESH,12th Pass
BJP,6,10000,130000,WESTBENGAL,Post Graduate
INC,0,340000,390000,KARNATAKA,Graduate
INC,1,70000,6100,KARNATAKA,Graduate
INC,0,150000,4600,MAHARASHTRA,10th Pass
AITC,0,20000,0,WESTBENGAL,Graduate
DMK,9,630000,0,PUDUCHERRY,12th Pass
SP,0,50000,0,UTTARPRADESH,Post Graduate
BJP,0,1480000,5300,WESTBENGAL,Graduate
DMK,99,1210000,90000,TAMILNADU,12th Pass
BJP,0,30000,500,UTTARPRADESH,Graduate
INC,10,10000,900,KERALA,Graduate Professional
INC,0,70000,10000,MADHYAPRADESH,Post Graduate
BJP,1,3900,0,JHARKHAND,Graduate
BJP,1,50000,800,WESTBENGAL,10th Pass
YSRCP,0,90000,5200,ANDHRAPRADESH,Graduate Professional
IND,0,340000,2500,ASSAM,10th Pass
AAP,0,570000,0,DELHI,8th Pass
BJP,0,10000,3900,ANDHRAPRADESH,Graduate Professional
AAP,0,0,500,NAGALAND,Graduate
BJP,6,10000,5000,UTTARPRADESH,10th Pass
BJP,0,470000,4300,MAHARASHTRA,10th Pass
NCP,1,580000,10000,MAHARASHTRA,Post Graduate
YSRCP,0,420000,80000,KARNATAKA,Doctorate
DMK,3,110000,10000,TAMILNADU,Graduate
SP,2,10000,0,UTTARPRADESH,Graduate
BJP,2,9800,2200,JHARKHAND,Others
BJP,2,90000,5000,UTTARPRADESH,Graduate
CPI(M),0,1900,0,KERALA,Graduate
SHS,5,70000,8400,BIHAR,Graduate Professional
INC,0,7300,500,KERALA,Graduate
IND,0,30000,2300,RAJASTHAN,Graduate
BJP,4,10000,2700,UTTARPRADESH,Doctorate
INC,1,80000,10000,KARNATAKA,Graduate
BJP,0,8200,0,UTTARPRADESH,Graduate Professional
SHS,2,40000,10000,MAHARASHTRA,Graduate
AAP,0,20000,180000,PUNJAB,Graduate Professional
RJD,1,30000,1700,BIHAR,Post Graduate
INC,1,50000,20000,UTTARAKHAND,12th Pass
INC,3,270000,10000,MADHYAPRADESH,Graduate
BJP,0,100000,220000,NAGALAND,Graduate
YSRCP,0,170000,70000,ANDHRAPRADESH,Graduate Professional
RJD,7,30000,5300,BIHAR,Post Graduate
INC,8,20000,10000,MAHARASHTRA,Graduate
BJP,0,80000,3000,NAGALAND,Graduate
BJP,0,30000,40000,UTTARPRADESH,Post Graduate
NCP,0,150000,40000,PUNJAB,10th Pass
INC,2,100000,30000,GOA,Graduate Professional
BJP,1,50000,600,MADHYAPRADESH,12th Pass
INC,0,340000,2300,PUNJAB,10th Pass
BJP,0,20000,0,RAJASTHAN,5th Pass
AIADMK,3,60000,20000,TAMILNADU,10th Pass
BJP,0,10000,100,ASSAM,Graduate
BJP,0,150000,40000,UTTARPRADESH,Post Graduate
BJP,0,20000,5700,MADHYAPRADESH,Graduate
INC,0,150000,2300,UTTARPRADESH,Post Graduate
INC,1,60000,1900,MADHYAPRADESH,Graduate
INC,0,60000,600,MADHYAPRADESH,Graduate
BJP,0,20000,6200,RAJASTHAN,5th Pass
BJP,0,710000,100000,TRIPURA,12th Pass
NDPP,0,400,0,NAGALAND,Graduate
BJP,0,70000,6200,RAJASTHAN,8th Pass
BJP,0,4000,0,ARUNACHALPRADESH,Graduate
BJP,2,10000,900,ASSAM,Doctorate
CPI(M),1,10000,0,KERALA,Graduate Professional
AAP,0,30000,82,HARYANA,Graduate Professional
INC,14,3000,0,ODISHA,Graduate
BJP,0,10000,200,CHHATTISGARH,10th Pass
BJP,0,30000,2100,BIHAR,Literate
IND,0,10000,2100,RAJASTHAN,Post Graduate
IND,1,520000,0,RAJASTHAN,10th Pass
INC,0,170000,82,KARNATAKA,10th Pass
AAP,1,20000,300,WESTBENGAL,Post Graduate
INC,2,9400,1600,KERALA,Graduate
INC,0,50000,0,UTTARAKHAND,Graduate
SHS,3,200000,100000,MAHARASHTRA,8th Pass
INC,0,30000,570000,MADHYAPRADESH,Graduate
BJP,0,10000,2100,BIHAR,Literate
AITC,1,20000,1600,WESTBENGAL,Graduate
YSRCP,0,140000,350000,MEGHALAYA,Graduate
INC,0,0,2900,RAJASTHAN,Graduate Professional
SP,0,90000,10000,UTTARPRADESH,Post Graduate
BJP,1,10000,4100,RAJASTHAN,Post Graduate
BJP,0,30000,2300,MEGHALAYA,Post Graduate
NCP,0,140000,0,MAHARASHTRA,Graduate
INC,0,170000,9800,GOA,Graduate Professional
SHS,5,70000,10000,MAHARASHTRA,12th Pass
BJP,0,1750000,2500,GUJARAT,10th Pass
INC,2,0,300,HIMACHALPRADESH,Graduate Professional
YSRCP,16,0,8100,ANDHRAPRADESH,Doctorate
BJP,0,130000,400,GUJARAT,10th Pass
BJP,0,50000,10000,HIMACHALPRADESH,Graduate
BJP,0,30000,40000,MEGHALAYA,Post Graduate
INC,3,970000,10000,KARNATAKA,Graduate
IND,14,20000,0,UTTARAKHAND,Graduate
BJP,1,0,40000,MADHYAPRADESH,Post Graduate
JD(U),0,20000,1200,BIHAR,Graduate
INC,0,3700,7000,KARNATAKA,8th Pass
INC,0,150000,1600,ASSAM,Graduate
AITC,1,10000,0,WESTBENGAL,Graduate
BJP,1,20000,5700,RAJASTHAN,5th Pass
INC,0,20000,1600,NAGALAND,Post Graduate
BJP,0,10000,2200,CHHATTISGARH,Graduate Professional
CPI(M),16,170000,1800,MAHARASHTRA,8th Pass
INC,10,30000,5100,KERALA,12th Pass
INC,1,170000,30000,KARNATAKA,Graduate
BJP,0,230000,2200,WESTBENGAL,Graduate
AITC,0,7000,0,WESTBENGAL,Graduate
NCP,7,2450000,140000,UTTARPRADESH,10th Pass
BJP,0,420000,6800,MAHARASHTRA,Graduate
SHS,0,400000,100000,MAHARASHTRA,10th Pass
INC,0,70,2800,MADHYAPRADESH,Graduate
BJP,0,1900,300,TRIPURA,Post Graduate
INC,9,60000,1500,KERALA,12th Pass
JD(U),1,210000,100,BIHAR,Post Graduate
RJD,4,50000,0,JHARKHAND,12th Pass
CPI(M),1,10000,0,KERALA,Graduate Professional
BJP,0,10000,200,CHHATTISGARH,Post Graduate
AAP,0,520000,3600,PUNJAB,Post Graduate
AITC,2,8400,0,WESTBENGAL,12th Pass
BJP,0,5000,1600,MAHARASHTRA,Graduate
NDPP,0,50000,0,NAGALAND,Graduate
JMM,2,10000,200,JHARKHAND,12th Pass
AAP,0,9000,3900,PUNJAB,Post Graduate
BJP,4,0,6900,KARNATAKA,Graduate Professional
SP,30,10000,0,UTTARPRADESH,Graduate
IND,0,40000,4600,RAJASTHAN,Post Graduate
AITC,0,3200,5500,WESTBENGAL,Post Graduate
BJP,8,70000,80000,GUJARAT,Graduate Professional
BJP,6,1300,0,WESTBENGAL,10th Pass
INC,0,0,200,CHHATTISGARH,Post Graduate
IND,4,30000,50000,HARYANA,Post Graduate
BJP,0,60000,500,UTTARPRADESH,Graduate
BJP,4,30000,2700,JHARKHAND,Graduate Professional
AAP,1,10000,2200,CHHATTISGARH,Post Graduate
BJP,0,6700,0,UTTARPRADESH,12th Pass
BJP,0,100000,1400,MADHYAPRADESH,Post Graduate
BJP,1,80000,40000,GUJARAT,Post Graduate
AITC,14,30000,800,UTTARAKHAND,Graduate
DMK,0,30000,600,TAMILNADU,Graduate
BJP,0,240000,0,BIHAR,12th Pass
AAP,0,0,6100,WESTBENGAL,Post Graduate
DMK,3,130000,30000,TAMILNADU,Graduate Professional
BJP,0,6700,1900,BIHAR,12th Pass
AITC,0,2500,4000,WESTBENGAL,Graduate
BJP,0,7900,5300,RAJASTHAN,Graduate Professional
YSRCP,0,510000,10000,ANDHRAPRADESH,Graduate
BJD,1,130000,140000,ODISHA,Graduate Professional
AAP,0,5800,0,DELHI,Post Graduate
INC,3,830000,200000,ANDHRAPRADESH,Graduate
INC,0,420000,7100,KERALA,Graduate Professional
RJD,0,250000,3700,BIHAR,12th Pass
INC,0,0,5600,MADHYAPRADESH,12th Pass
BJP,1,30000,5300,UTTARPRADESH,Post Graduate
YSRCP,0,4300,24,ANDHRAPRADESH,Graduate Professional
AAP,1,7700,3900,PUNJAB,Graduate Professional
INC,0,30000,7000,ASSAM,Graduate Professional
INC,1,6480000,9500,KARNATAKA,Post Graduate
DMK,11,50000,10000,TAMILNADU,12th Pass
BJP,14,3000,0,ARUNACHALPRADESH,Graduate
SP,0,6900,1400,UTTARPRADESH,Post Graduate
BJP,8,0,30000,MAHARASHTRA,Graduate
SHS,1,40000,10000,MAHARASHTRA,Post Graduate
CPI(M),0,7700,400,GUJARAT,Post Graduate
BJP,0,570000,5300,UTTARAKHAND,Post Graduate
DMK,3,290000,10000,TAMILNADU,Graduate
YSRCP,15,60000,10000,ANDHRAPRADESH,Post Graduate
INC,0,70000,600,MADHYAPRADESH,Post Graduate
NPP,0,140000,0,MEGHALAYA,12th Pass
BJP,5,70000,1170000,MAHARASHTRA,Graduate
JD(U),1,70000,100,BIHAR,Graduate
